,numPCHs1,metacache_rownum8192
GemsFDTD,57543717,57574895
omnetpp,98807076,98675810
soplex,61901145,61971347
mcf,127654253,127484806
lbm,54501528,54680136
libquantum,39053372,38958422
milc,73139591,73087843
leslie3d,59385728,59874363
sphinx3,22015305,22023326
astar,91438141,91399091
h264ref,2199247,2190367
sjeng,1194531,1211656
cactusADM,20933372,20931364
zeusmp,13769740,13716339
bwaves,40821283,40636342
gcc,129700092,129437638
bzip2,4780342,4821476
xalancbmk,38316282,38300808
mix1,3058020,3367532
mix2,43129745,45505270
bfs.road,114098229,113826001
bfs.web,19165348,19171277
bfs.kron,150833587,150978423
bfs.urand,154661620,154901050
bfs.twitter,145213763,146201461
bc.road,157417255,157413568
bc.web,12135856,12196435
bc.kron,120371269,120355570
bc.urand,111023460,111123847
bc.twitter,112004713,111885695
pr.road,44240193,44128124
pr.web,29233043,29321764
pr.kron,244781087,244899276
pr.urand,252442734,252185649
pr.twitter,223402386,223169642
RAND,10000010,11721390
STREAM,10000001,10025316
SPEC-RATE,30777418.744341876,30803219.905217312
SPEC-MIX,11484407.81254741,12379032.793140182
GAP,93723107.99891327,93790533.8734422
GMEAN,42184909.53079341,42623606.286563754
