,numPCHs1,metacache_rownum8192
GemsFDTD,613845386850.0415,365260029511.08655
omnetpp,968764113382.658,692799268823.0828
soplex,731425383316.053,483601577543.27057
mcf,1272343053796.4968,1038504431310.278
lbm,655216011625.4993,655415983331.3096
libquantum,513468764065.0313,512190239023.21
milc,881156288670.8252,833501966743.224
leslie3d,692399384911.5514,626602769698.0159
sphinx3,253663546529.985,234321358898.3382
astar,948486690909.3728,881545066459.1008
h264ref,38423600011.76416,30229425292.531677
sjeng,23639712202.462036,22680163617.229736
cactusADM,237648486643.88464,182218594054.72794
zeusmp,171820435885.02454,115559142762.52277
bwaves,440643641923.1553,291095262963.33234
gcc,1373383105341.561,924238878843.9778
bzip2,61583971273.02295,59584930625.940125
xalancbmk,429222567235.7918,345139287519.044
mix1,36326913994.10498,29643803357.336426
mix2,489219123153.5791,443201944331.3436
bfs.road,1199477319576.29,966456525622.2843
bfs.web,228947862491.88748,186591854860.88004
bfs.kron,1537805216171.827,1239158996109.2688
bfs.urand,1544371723883.5037,1381452676633.1128
bfs.twitter,1448801347544.2888,1076832155754.1676
bc.road,1589313068715.9626,972404045311.3708
bc.web,139055132781.5963,97322238821.78198
bc.kron,1192053068365.497,1041953297213.6046
bc.urand,1097624403173.8862,967255483325.1481
bc.twitter,1112666231926.4897,901625199549.311
pr.road,529610737988.8094,448533276329.4802
pr.web,354465136782.05115,285094475079.5188
pr.kron,2340722008907.462,2107452836006.5598
pr.urand,2411319292593.5146,2195035038079.0667
pr.twitter,2150481863532.7327,1991091604530.5168
RAND,94260362717.10803,94631879896.85626
STREAM,402557410264.99866,385280586297.03143
SPEC-RATE,369163061231.5065,299128205455.7397
SPEC-MIX,133310993586.69382,114621949404.76068
GAP,975823940246.4635,797655987355.5085
GMEAN,inf,inf
