,numPCHs1,metacache_rownum8192
GemsFDTD,57543703,57574882
omnetpp,98807060,98675792
soplex,61901142,61971339
mcf,127654242,127484787
lbm,54501514,54680129
libquantum,39053365,38958414
milc,73139582,73087837
leslie3d,59385723,59874358
sphinx3,22015295,22023315
astar,91438129,91398956
h264ref,2199241,2190362
sjeng,1194527,1211655
cactusADM,20933362,20931356
zeusmp,13769733,13716330
bwaves,40821273,40636319
gcc,129700083,129437619
bzip2,4780338,4821467
xalancbmk,38316271,38300797
mix1,3058010,3367521
mix2,43129734,45505265
bfs.road,114098215,113825984
bfs.web,19165340,19171271
bfs.kron,150833576,150978409
bfs.urand,154661598,154901032
bfs.twitter,145213755,146201453
bc.road,157417238,157413540
bc.web,12135847,12196420
bc.kron,120371246,120355551
bc.urand,111023445,111123832
bc.twitter,112004692,111885671
pr.road,44240179,44128114
pr.web,29233032,29321754
pr.kron,244781070,244899254
pr.urand,252442720,252185632
pr.twitter,223402371,223169626
RAND,9999984,11445748
STREAM,9999999,10025170
SPEC-RATE,30777401.184508633,30803202.49311239
SPEC-MIX,11484387.570494998,12379011.895061132
GAP,93723088.88908081,93790512.37876366
GMEAN,42184886.12832787,42598219.65854389
