,numPCHs1,metacache_rownum8192
GemsFDTD,36058322,40254350
omnetpp,98611736,128120465
soplex,46987573,47083919
mcf,101886637,109019797
lbm,42375068,43030593
libquantum,39053019,39027773
milc,51421885,56041213
leslie3d,44783222,45350008
sphinx3,20697655,20738398
astar,55701682,78255678
h264ref,1400665,1413630
sjeng,732312,1176592
cactusADM,17050201,17188670
zeusmp,9739843,10635326
bwaves,36961841,37269182
gcc,129629906,129529938
bzip2,3034831,3082303
xalancbmk,37590102,39249791
mix1,2601473,2967586
mix2,31811526,34635241
bfs.road,89575506,89620037
bfs.web,17392474,18705919
bfs.kron,126434795,215365454
bfs.urand,131032219,245033888
bfs.twitter,139913609,202724660
bc.road,120569267,121271443
bc.web,9567672,10712983
bc.kron,106901116,206836329
bc.urand,99410108,194005337
bc.twitter,74706918,150152225
pr.road,35425484,35887401
pr.web,28783303,29367231
pr.kron,244294016,440097917
pr.urand,251966964,458459207
pr.twitter,223019773,270425051
RAND,7001054,15759729
STREAM,7000823,7157005
SPEC-RATE,23997017.611957014,26144090.802165136
SPEC-MIX,9097077.881264841,10138197.882179357
GAP,81477032.2288233,114939439.27134265
GMEAN,34210879.60518442,42091472.74404653
