,numPCHs1,metacache_rownum8192
GemsFDTD,57543743,61762125
omnetpp,98807099,128317436
soplex,61901184,62073931
mcf,127654274,134765583
lbm,54501584,55227465
libquantum,39053398,39028148
milc,73139624,77776810
leslie3d,59385765,60099059
sphinx3,22015315,22056056
astar,91438151,113993374
h264ref,2199257,2198412
sjeng,1194536,1657298
cactusADM,20933388,21072190
zeusmp,13769749,14652387
bwaves,40821296,41141916
gcc,129700139,129600299
bzip2,4780354,4828607
xalancbmk,38316303,39976149
mix1,3058040,3452212
mix2,43129771,46452062
bfs.road,114098255,114096381
bfs.web,19165358,20511176
bfs.kron,150833625,239789832
bfs.urand,154661646,268704571
bfs.twitter,145213811,208140955
bc.road,157417308,158118257
bc.web,12135861,13313824
bc.kron,120371316,220314078
bc.urand,111023478,205731466
bc.twitter,112004818,187412705
pr.road,44240209,44680138
pr.web,29233053,29818520
pr.kron,244781113,440586138
pr.urand,252442760,458941884
pr.twitter,223402438,270806856
RAND,10000249,20204870
STREAM,10000031,10181458
SPEC-RATE,30777450.718819987,32812868.39340612
SPEC-MIX,11484448.829127152,12663426.308118353
GAP,93723138.51945403,128079638.33040892
GMEAN,42184975.51171467,50540091.44195838
