,numPCHs1,metacache_rownum8192
GemsFDTD,21485388,21507750
omnetpp,195333,196911
soplex,14913572,14989975
mcf,25767616,25745746
lbm,12126456,12196848
libquantum,352,352
milc,21717704,21735576
leslie3d,14602505,14749027
sphinx3,1317647,1317642
astar,35736454,35737673
h264ref,798580,784773
sjeng,462219,480705
cactusADM,3883165,3883504
zeusmp,4029895,4017047
bwaves,3859440,3872662
gcc,70184,70312
bzip2,1745510,1746291
xalancbmk,726179,726332
mix1,456544,484589
mix2,11318214,11816809
bfs.road,24522717,24476316
bfs.web,1772872,1805245
bfs.kron,24398788,24424343
bfs.urand,23629392,23670614
bfs.twitter,5300151,5416260
bc.road,36847983,36846766
bc.web,2568181,2600802
bc.kron,13470144,13477697
bc.urand,11613347,11726055
bc.twitter,37297784,37260342
pr.road,8814707,8792720
pr.web,449737,451273
pr.kron,487068,488108
pr.urand,475765,482503
pr.twitter,382609,381743
RAND,2998947,4444708
STREAM,2999177,3024418
SPEC-RATE,1972265.6352758482,1978250.7360020094
SPEC-MIX,2273161.387234967,2392967.959773177
GAP,4944101.597351108,4969648.325664467
GMEAN,2939950.821400059,2991550.1656978177
