,MCache(256KB),MCache(512KB),MCache(1MB),Attache.1CL(128KB),Attache.4CL(512KB),Ideal
GemsFDTD,1.0914491925315415,1.0783858513555682,1.0735341692868852,1.0006270555301873,0.999866136165257,0.9999989920677119
omnetpp,1.620407553258698,1.5714145284466166,1.2951306153978623,0.9983481432192701,0.9988768165849903,0.9991847824450724
soplex,1.0123924645476543,1.0045671074764913,1.001255008265083,1.0022361421351655,0.9992273089539667,0.9994814163824154
mcf,1.0853243919505462,1.0696776823864367,1.0570184881379694,0.9993739658428324,0.9997062436426791,0.9988383477865781
lbm,1.0113451540080993,1.0112789478331867,1.0112789478331867,1.000029477991935,0.9965503774568764,1.0015293314371239
libquantum,1.015703916406371,1.0090843175226147,1.0001282856081486,0.9986689663429407,0.9994736087341229,0.9994377318161429
milc,1.0643223022330652,1.0635346508277344,1.0639504792272176,0.9988492391218482,0.9989192756824375,0.9997187183993363
leslie3d,1.01035460835244,1.0053158243796232,1.0037320795276066,1.0002053130455548,1.0001673357739835,1.0006658906167003
sphinx3,1.0123817044551506,1.0042482718272583,1.0043068220040559,1.0033426291391376,1.0018686091335096,1.0024229053379001
astar,1.508674435413315,1.4141028290046551,1.2471033343362088,1.0001961672131294,1.0007699029903638,0.9996166782184929
h264ref,0.998942743162237,0.998942743162237,0.998942743162237,0.9954638213090116,1.0035226704120295,1.0067144923481037
sjeng,1.7646585900960152,1.621225267912608,1.3742879346899357,0.9997099342489686,1.000016766806418,1.000124912707814
cactusADM,1.0078355168606536,1.0071816967067981,1.007552057764853,0.9965172771903955,1.0007708366574848,1.0002539181647376
zeusmp,1.0892502975298475,1.06961834704347,1.067828803217105,0.9995745832399764,0.9989480246636967,0.9980965364324934
bwaves,1.014025665605543,1.0117753821773903,1.0124725553509495,1.000202390875563,1.000389945148713,0.9992628538315097
gcc,1.0777958704304735,1.0403354522880235,1.0000828985077805,0.9967069931677986,1.0007806025362638,0.9985347034775242
bzip2,0.9979682327160139,0.9979682327160139,0.9979682327160139,1.0022503831006835,0.9983583939582538,0.9996721808758231
xalancbmk,1.2132466940930942,1.193853686234835,1.0441340803410517,0.9995125192103135,0.9996728987719702,1.001575269194941
mix1,,,,,,
mix2,1.1404918869072145,1.1586542926468761,1.1407011726542011,1.1244668118586536,1.1040424850066384,1.107183079247356
mix3,1.1650687941697777,1.1156316134027688,1.074930932237137,1.051838725223161,1.0472836322125252,1.0458867772114118
bfs.road,1.1129387478597719,1.0152418885332537,1.0013659571250981,1.000570619327332,0.9994678218972372,0.999536626690015
bfs.web,1.0830372945661537,1.0775242111234824,1.0699755750393132,1.0001965004640712,1.0007416678424668,0.9998280425117761
bfs.kron,1.6844031676546232,1.6619152178910686,1.5887651803235572,0.9999817890663902,0.9996995925452821,0.9996024100903957
bfs.urand,1.854572907622957,1.8233204851393445,1.7351238868506929,1.0006167218478537,0.9996282208115004,0.9999699415598089
bfs.twitter,1.6115059111980772,1.5767891680999546,1.4317229276426562,1.0002913219796374,0.9975947937042429,0.9978088395368799
bc.road,1.1659106077130121,1.0751543360695357,1.0039805395673966,1.0002595285929574,0.99978619209545,1.0006840379109316
bc.web,1.1198919960816938,1.1026076776125227,1.0954295271796237,1.0010931243745806,1.0028225450269022,1.0031714285337598
bc.kron,1.9111828324840727,1.8972156664049933,1.830884290815241,0.9999153759357591,0.9991131504408415,0.9995975164523645
bc.urand,1.9264584252042665,1.910660774244117,1.8517459497731918,0.9996103273239669,0.9995229977679304,0.9994837692773126
bc.twitter,1.8028412781805112,1.7679240149445437,1.6745107812519835,0.9997191928422743,1.0000273088846843,0.999514764802655
pr.road,1.0125594142693959,1.0125594142693959,1.0125594142693959,0.9980846920974943,0.9999102945880897,0.9983497781557088
pr.web,1.0282875178193742,1.0218341446387393,1.0181241161294512,1.0016130097671705,1.0022059028022816,1.001900459581043
pr.kron,1.8800904487168164,,,1.000145811086744,,0.9995887242362602
pr.urand,,,,0.9993174635972323,,0.9994248572138811
pr.twitter,1.6421142894597849,1.4707183668155241,1.214046996942503,0.9997782097766326,0.9996078648155218,1.0003610082251904
rand,2.0703101296898705,2.0357242642757356,1.9666440333559667,1.0000007999992,,1.0000004999995
seq,1.0157117984288202,1.0157117984288202,1.0157117984288202,,0.99999850000015,0.99999920000008
gmean,1.243634406846074,1.1992601871705224,1.1565209021741087,1.0042410110984488,1.0037745225081396,1.0039707934436992
