,MCache(256KB),MCache(512KB),MCache(1MB),Attache.1CL(128KB),Attache.4CL(512KB),Ideal
GemsFDTD,328.10344,323.978703,322.681335,452.052592,452.384878,285.503531
omnetpp,685.367125,692.646183,741.502195,816.727949,867.493288,865.538091
soplex,270.948946,270.203604,270.614044,355.967183,356.378156,270.17927
mcf,774.846726,774.105895,777.941111,766.357989,767.101791,786.679419
lbm,557.544612,557.712422,557.712422,558.523314,558.241619,559.328562
libquantum,349.067891,349.124165,348.958394,349.051852,348.610355,348.870655
milc,534.274304,534.722975,534.365402,530.429577,530.324763,543.80476
leslie3d,489.662348,489.114922,489.623768,520.987644,523.05441,489.614602
sphinx3,574.506987,575.29855,576.436409,583.340106,584.082135,575.515641
astar,552.503163,563.751845,593.034166,611.16122,611.639976,624.724856
h264ref,144.007552,144.007552,144.007552,147.438271,146.896231,143.845694
sjeng,194.563633,193.755482,191.428539,176.935044,176.408805,175.612883
cactusADM,437.707715,438.79662,437.080047,514.145528,513.730944,439.437735
zeusmp,195.319358,190.162636,190.141252,263.513995,264.871413,165.915394
bwaves,445.888749,446.722404,446.85136,553.97886,552.01427,444.622429
gcc,584.516226,583.710932,584.334866,560.639857,560.316558,584.82969
bzip2,415.680538,415.680538,415.680538,416.231591,417.077283,414.716175
xalancbmk,510.350652,511.280445,510.710813,487.701406,489.013412,510.593243
mix1,,,396.710122,,419.35603,
mix2,357.715072,358.995439,355.749205,397.208737,395.587607,354.522938
mix3,461.906705,464.829661,463.60832,484.64295,482.033512,460.570541
bfs.road,680.08764,701.236844,705.966262,696.199873,698.045983,706.170275
bfs.web,442.380757,443.322794,443.923263,439.012584,437.451462,447.543361
bfs.kron,620.265299,624.053875,638.747981,694.839323,696.681787,685.957123
bfs.urand,668.963166,672.430651,697.149899,949.682065,944.005513,985.7906
bfs.twitter,669.887182,673.713865,687.513997,776.027655,781.924636,713.690979
bc.road,583.019971,573.608079,574.101668,732.051995,731.712936,573.64751
bc.web,396.713179,395.876413,392.344489,426.980745,427.21339,378.887196
bc.kron,655.332556,654.196171,656.153368,832.7846,831.530851,507.326987
bc.urand,664.328414,662.906215,663.606129,854.406596,854.430737,537.677269
bc.twitter,614.460045,613.605451,611.738062,675.073542,674.994787,496.701316
pr.road,487.591517,487.591517,487.591517,490.439654,487.866712,490.799513
pr.web,422.222544,422.561203,423.580255,421.627892,421.578711,424.573103
pr.kron,729.879315,,,924.321718,,1004.363639
pr.urand,,,,1256.90542,,1257.303175
pr.twitter,784.471145,840.766742,944.637066,1142.816086,1140.814525,1089.418994
rand,686.735667,694.0999,709.473146,,,1226.548076
seq,60.36623,60.36623,60.36623,60.260385,60.253324,60.259369
gmean,328.4431375411327,276.9036012746644,326.8374749894348,368.14438850656023,299.2280930057179,407.60830387657677
