,128KB,256KB,512KB,1MB
GemsFDTD,1.111082207495609,1.0913452918764774,1.0795253621232113,1.073307396774659
astar,1.572405986205911,1.5015554174974515,1.4076638645066215,1.2466719061281106
bc.kron,1.9165610601116965,1.9105162479074334,1.8977528001770787,1.83028719234074
bc.road,1.207531251900204,1.1671398103186976,1.075853838130684,1.0044528076925314
bc.twitter,1.8255755301526404,1.80428162474225,1.7658660451553074,1.6732557433377553
bc.urand,1.9351158229793521,1.926654279376836,1.9107528589583547,1.8530446866382622
bc.web,1.1540179143449318,1.1231143797708296,1.106606609947164,1.0970646417258734
bfs.kron,1.6896595437522635,1.6815898974780987,1.6612673666100646,1.5897637678601173
bfs.road,1.1780621184784992,1.1148680845294259,1.0160514374211946,0.9999835755595036
bfs.twitter,1.6197745956822247,1.6106676175587733,1.57488850010279,1.433341316274662
bfs.urand,1.8700457448901067,1.86008157445835,1.8237921378387503,1.7373704337790379
bfs.web,1.0954295766350934,1.0841375882464601,1.0786380301375011,1.0702213858984528
bwaves,1.0144831021533467,1.0140171443846369,1.0140821104748854,1.0078542337313348
bzip2,1.0100940223255432,1.0100940223255432,1.0100940223255432,1.0100940223255432
cactusADM,1.0028678587527255,1.0104344313495741,1.0081537207450604,1.0066306514740948
gcc,1.0857939635669935,1.0793421277674962,1.0364241244182475,0.9992302244178782
h264ref,0.9992065502121853,0.9996157793291098,0.9996157793291098,0.9996157793291098
lbm,1.01127383747232,1.0109986528097972,1.0125864415243417,1.0133185303384944
leslie3d,1.0134127597750067,1.007643649955507,1.0084224224441665,1.0120111949387198
libquantum,1.0166905322809554,1.0166674613051596,1.009145606228682,0.9993534493464563
mcf,1.1294766284127706,1.0843761173245168,1.0697584163927014,1.0557075668300773
milc,1.065121841479524,1.06550145786913,1.063653266798309,1.0634018299027623
mix1,1.1930017265961204,1.1734401773685106,1.1264404651345306,1.1288969405239957
mix2,1.207556655007512,1.1629941647499125,1.1082357706003123,1.0770301098978707
omnetpp,1.6283850110810358,1.6261419536262267,1.563033380830258,1.2986661616287307
pr.kron,1.8900748114500157,1.8796354153353327,1.8548223081247286,1.799918844228803
pr.road,1.0099440985913968,1.0099440985913968,1.0099440985913968,1.0099440985913968
pr.twitter,1.7337242487926654,1.6393659813148502,1.4688446014183605,1.212192930499711
pr.urand,1.9185156785641229,1.9044429675859984,1.8757393596869247,1.8180037486517735
pr.web,1.0403551418320898,1.030479231847594,1.0242725246658295,1.0200275694776046
RAND,2.1336524720534458,2.1173282785258647,2.084895286107376,2.020436691126391
STREAM,1.0296113082049445,1.0279725132852089,1.0246954234441874,1.0181426437578043
sjeng,1.8670320526128974,1.7827256775852716,1.6401941841853238,1.3873989565823048
soplex,1.017974906586601,1.0138243074639735,1.0032300513024113,1.0027906897548196
sphinx3,1.02798401930656,1.0106906487597385,1.003686388316497,1.0018505753835456
xalancbmk,1.229953343880802,1.2113408227302096,1.193052471685486,1.0433195760039793
zeusmp,1.1050454877572569,1.0866773243288603,1.0674487240108734,1.064099788601811
AVERAGE,1.3393646867939828,1.3203147627373109,1.288625129726872,1.2345595043609383
SPEC-RATE,1.1615713395198912,1.1457217937938156,1.1216539076467626,1.0714068074162464
SPEC-MIX,1.2002791908018162,1.1682171710592115,1.1173381178674213,1.1029635252109333
GAP,1.5389591425438203,1.5164612532708217,1.4763395011310754,1.4099248495037482
