,metacache_rownum2048
GemsFDTD,0.9858311725895386
omnetpp,0.7345684138311526
soplex,0.8634346079523513
mcf,0.4315468432051717
lbm,0.006288060822521768
libquantum,2.169231467383277e-05
milc,0.1183642891395058
leslie3d,0.2630098071355393
sphinx3,0.19552715302553683
astar,0.13117758226011844
h264ref,0.8648136524322968
sjeng,0.24397458232544147
cactusADM,0.5748339427121991
zeusmp,0.954124015130872
bwaves,0.7868911756988162
gcc,0.7625501702175225
bzip2,0.09620761486855758
xalancbmk,0.46563128176881313
bfs.road,0.427419046491245
bfs.web,0.4860126018900648
bfs.kron,0.9002392662426955
bfs.urand,0.26371264908409037
bfs.twitter,0.8743802099302055
bc.road,0.8320438367444057
bc.web,0.7821553191678629
bc.kron,0.9476155465763298
bc.urand,0.9142543661816763
bc.twitter,0.9212769175268468
pr.road,0.40032443889676855
pr.web,0.5643235323842758
pr.kron,0.20236344373441478
pr.urand,0.004340863528027781
pr.twitter,0.19253348240089074
SPEC,0.47104422541281277
GAP,0.5808663680519868
AVERAGE,0.5212486334764351
