,numPCHs1,numPCHs2,metadata_predictor0,metadata_predictor1,metadata_predictor2,metacache_rownum1024,metacache_rownum2048,metacache_rownum4096,metacache_rownum8192
GemsFDTD,879249081,692104438,689107183,754592028,692668919,754592028,734499409,726969344,723459409
omnetpp,1026045905,684279629,755612599,1362064588,868497505,1362064588,1366195243,1314195083,1086431015
soplex,1232999996,983370626,1010918800,1008405222,1032861694,1008405222,1015335890,1012602646,1013999489
mcf,1452635722,935131009,1229475710,1360716392,1278265184,1360716392,1327587375,1312052662,1297582612
lbm,1418994049,1291419395,1416896536,1413238749,1413333201,1413238749,1418189354,1418189354,1418189354
libquantum,973750231,897710959,949670757,979933265,948428975,979933265,979957975,977362751,971853561
milc,1653199713,1429600169,1568696759,1603934679,1599066108,1603934679,1603251469,1603362691,1601828827
leslie3d,1154594277,936347941,1090478899,1099106002,1103906532,1099106002,1103156672,1097547105,1096864111
sphinx3,450509678,386376820,436455021,441412545,430488211,441412545,430375537,430375537,430375537
astar,1260610389,893970679,1224368967,1659290272,1251404151,1659290272,1598536646,1523969056,1378585371
h264ref,98075733,94098549,92990152,93565533,92977793,93565533,93565533,93565533,93565533
sjeng,68109342,67106682,67309705,70835809,67182148,70835809,70179292,69656807,68363053
cactusADM,383015964,318012369,334268383,333953781,345112419,333953781,335316696,335125819,335532910
zeusmp,307065248,283696742,282903414,295597963,280113797,295597963,290960191,287244939,286125963
bwaves,498769394,454126177,463006489,468836644,466071823,468836644,468455445,467953100,467705096
gcc,1786713078,1373419813,1453467107,1554436080,1549373373,1554436080,1546070382,1497468744,1459822646
bzip2,116353816,100013396,113672987,113374505,113915654,113374505,113374505,113374505,113374505
xalancbmk,639959215,542806598,561984977,620625897,603310547,620625897,618140764,612498871,562756586
bfs.road,1641060340,1155410809,1420674547,1600562306,1495975744,1600562306,1530490971,1428003062,1423768082
bfs.web,392820252,337476797,356801709,373043969,370567434,373043969,371418135,370752557,367520034
bfs.kron,1914788164,1313300667,1376415464,2484123501,1387001935,2484123501,2470826384,2426872296,2271589366
bfs.urand,1783139384,1152370058,1556974909,2637060374,1624807819,2637060374,2615795788,2566923614,2425392348
bfs.twitter,1638809656,1112280892,1159607209,2095851750,1212580195,2095851750,2079845941,2028265321,1798180424
bc.road,2004826039,1340448571,1403822704,1734274142,1463951856,1734274142,1653820250,1500551951,1406100463
bc.web,228085427,187599175,188174169,202305976,188993918,202305976,198035150,195806452,194678625
bc.kron,1323023123,839772224,844142258,2036879224,846079233,2036879224,2031795539,2013968313,1911887549
bc.urand,1216909228,795370037,798422815,1889997712,811464100,1889997712,1880556272,1861011055,1782761503
bc.twitter,1373744094,922641457,928566691,1923164198,951275630,1923164198,1884315948,1830870459,1693505203
pr.road,919807391,918113305,896139844,900639689,889714719,900639689,900639689,900639689,900639689
pr.web,748980091,709274735,740614118,752199524,742493745,752199524,746086315,747528489,747271841
pr.kron,2307555952,1386448041,2120016431,3845725413,2304690518,3845725413,3826731855,3782978715,3680198294
pr.urand,2364713346,1413812877,2365439049,4003024964,2367092697,4003024964,3980051075,3930718183,3836246658
pr.twitter,2180063671,1364770925,2023121212,3361242585,2108430037,3361242585,3211925341,2937884014,2479283636
rand,39012252,20872976,29121125,68374491,34638449,68374491,67742582,66458875,63928463
stream,592706965,592708162,592701679,594696059,592688562,594696059,594681047,594681047,594681047
