,metacache_rpl_policy0,metacache_rpl_policy1,metacache_rpl_policy3,metacache_rpl_policy4,metacache_rpl_policy5
GemsFDTD,0.9272520151187921,0.9190933999505417,0.9270367745373417,0.9272055045824682,0.9272608852629505
astar,0.752743518387027,0.7075468285329826,0.7486422072432372,0.7741056551970908,0.7520818362762863
bc.kron,0.16940425341258203,0.18192427725558136,0.20252881328131042,0.17804695297207238,0.19391189352559163
bc.road,0.9955235756527848,0.9913790505577014,0.9956781133661097,0.9930134744665637,0.9955002322457498
bc.twitter,0.32496379968411354,0.32928706471597524,0.32538665103594955,0.3317025089182974,0.3241903761389918
bc.urand,0.14775330415285903,0.153737297880998,0.12244586374180838,0.15449611928251766,0.14754021524864736
bc.web,0.9082067470581866,0.903470741475991,0.9059577795845305,0.903369633022676,0.9082485831195984
bfs.kron,0.4117601142565135,0.40552043020364514,0.43070032560021293,0.4193033447659221,0.4294620453296057
bfs.road,0.9976244403818458,0.9961869046344815,0.9970653930144495,0.9970251420352715,0.9972376544772562
bfs.twitter,0.5763376855129837,0.5934302765430668,0.6898153075959377,0.5756798041828637,0.6811403495824725
bfs.urand,0.2652835397217466,0.26141904930417553,0.24757599072302328,0.2664638908976014,0.26513259484237917
bfs.web,0.9299842404460937,0.9272064000327507,0.9265659362887755,0.9267195043660259,0.9288666183660451
bwaves,0.9875543356525835,0.9876086402023695,0.9875166504580296,0.9875666945478149,0.9875379230330464
bzip2,0.9985232771549524,0.9985232771549524,0.9985232771549524,0.9985232771549524,0.9985232771549524
cactusADM,0.9932724553118235,0.9932287312058362,0.9932726188330248,0.9932497043224959,0.9932718704952282
gcc,0.9987436579518422,0.9992462558516634,0.9988803549367401,0.9990826366919573,0.998773396610429
h264ref,0.9963307652799178,0.9963307652799178,0.9963307652799178,0.9963307652799178,0.9963307652799178
lbm,0.9899907379560281,0.9899588775611456,0.9899982313960234,0.9899908824323862,0.9899824231122428
leslie3d,0.9962475733747199,0.9963400794047342,0.9961023900723739,0.9960706302050888,0.9962504511921905
libquantum,0.9982107857852532,0.9983017854616705,0.9982124368977031,0.9982393873262579,0.9982104264279761
mcf,0.9428872111710975,0.9531545620614512,0.967084475117588,0.937907233019702,0.9680650341245738
milc,0.9358063004617262,0.9359171407702848,0.935805727342113,0.9358094108293421,0.935783942575278
mix1,0.9748643307553083,0.9748449005941374,0.9748689450690814,0.974905518300667,0.9748604048112127
mix2,0.9791906234326838,0.9712034807555078,0.9753143993234284,0.9707637764292177,0.9791256403789705
omnetpp,0.6996023065575121,0.7920075457333507,0.8232026368822198,0.7562689102313653,0.8373014596519174
pr.kron,0.2009478156590769,0.2084953250118359,0.2550162874349173,0.2004614822416011,0.24655501105115457
pr.road,0.9874909975242782,0.9874448093639158,0.9874908677471845,0.9874909975242782,0.9874909975242782
pr.twitter,0.7865428346684774,0.7467080443442099,0.8232443427696192,0.7446426558509484,0.8287341357789847
pr.urand,0.18011998237486815,0.18028690838935588,0.1793219439899549,0.18003637354407054,0.18019128606574167
pr.web,0.9830580328761651,0.9802568995821883,0.982237891804167,0.9807868148650231,0.9828984051574909
RAND,0.12413272428372006,0.12408724015181348,0.12429025034646873,0.12427126176698317,0.1240721646855747
STREAM,0.9843749406259144,0.9843749343759843,0.9843749359384674,0.9843749406259144,0.9843749359384674
sjeng,0.6262724102708604,0.5987262106525365,0.6290451006193897,0.6120937214462864,0.6332535504766049
soplex,0.9983452179470875,0.9983533376100857,0.9983379251463071,0.9983100611323829,0.9983472476927446
sphinx3,0.9985143031918506,0.9985143031918506,0.9985143031918506,0.9985143031918506,0.9985143031918506
xalancbmk,0.9562579970756089,0.9809585573051879,0.9792977604739914,0.9622977680665545,0.9764865716289344
zeusmp,0.9317574961092051,0.9294057507412139,0.9320838567306554,0.9318550187943857,0.9319070197756447
