,Base,Metadata Cache (256KB),Metadata Cache (1MB),Attache (368KB COPR),Ideal
GemsFDTD,1.0,0.7420560747663552,0.7214953271028037,0.7158878504672898,0.7158878504672898
omnetpp,1.0,0.881619937694704,0.8068535825545171,0.7258566978193146,0.735202492211838
soplex,1.0,0.8235930735930735,0.8214285714285714,0.8170995670995671,0.8041125541125541
mcf,1.0,0.8739495798319328,0.8621848739495799,0.9042016806722689,0.8403361344537815
lbm,1.0,1.004255319148936,1.0095744680851064,1.0106382978723405,1.0074468085106383
libquantum,1.0,1.0013089005235603,0.9973821989528796,0.9986910994764397,0.9986910994764397
milc,1.0,0.968722073279714,0.968722073279714,0.9848078641644326,0.9562109025915997
leslie3d,1.0,0.9421487603305785,0.9454545454545454,0.971900826446281,0.943801652892562
sphinx3,1.0,0.9655172413793104,0.9620689655172414,0.9655172413793104,0.9689655172413794
astar,1.0,1.2365900383141764,1.10727969348659,1.0028735632183907,1.0009578544061302
h264ref,1.0,0.8692579505300353,0.8692579505300353,0.8869257950530035,0.9151943462897526
sjeng,1.0,1.0193798449612403,0.9651162790697675,0.9341085271317829,0.937984496124031
cactusADM,1.0,0.8228571428571428,0.8133333333333334,0.8057142857142857,0.8114285714285714
zeusmp,1.0,0.8421052631578947,0.8277511961722488,0.8301435406698564,0.8349282296650717
bwaves,1.0,0.7465346534653465,0.7465346534653465,0.7465346534653465,0.7465346534653465
gcc,1.0,0.7528735632183908,0.7385057471264368,0.7399425287356322,0.7399425287356322
bzip2,1.0,0.9581589958158996,0.9581589958158996,0.9246861924686193,0.9623430962343096
xalancbmk,1.0,0.8512195121951219,0.8317073170731707,0.948780487804878,0.8292682926829268
mix1,1.0,1.0,1.0,1.0,1.0
mix2,1.0,0.980246913580247,0.9580246913580247,0.9604938271604938,0.9555555555555556
bfs.road,1.0,0.8743633276740238,0.8471986417657046,0.8726655348047538,0.8488964346349746
bfs.web,1.0,0.888135593220339,0.8813559322033898,0.9186440677966101,0.8745762711864407
bfs.kron,1.0,0.9680365296803652,0.8873668188736682,0.7062404870624048,0.7031963470319634
bfs.urand,1.0,1.0535714285714286,0.9839285714285714,0.8839285714285714,0.8392857142857143
bfs.twitter,1.0,0.8856015779092702,0.8126232741617357,0.6863905325443787,0.6863905325443787
bc.road,1.0,0.7164634146341463,0.6707317073170732,0.6676829268292683,0.6707317073170732
bc.web,1.0,0.7932098765432098,0.7870370370370371,0.7808641975308642,0.7808641975308642
bc.kron,1.0,1.0341685649202734,0.9658314350797267,0.642369020501139,0.642369020501139
bc.urand,1.0,1.0364464692482915,0.979498861047836,0.6492027334851936,0.6492027334851936
bc.twitter,1.0,1.0066225165562914,0.8896247240618101,0.6269315673289183,0.6291390728476821
pr.road,1.0,0.9370932754880694,0.9370932754880694,0.9631236442516269,0.9349240780911063
pr.web,1.0,0.9233128834355828,0.9263803680981595,0.9601226993865031,0.9233128834355828
pr.kron,1.0,1.0071942446043165,1.0,1.0035971223021583,0.908273381294964
pr.urand,1.0,1.0124555160142348,1.01067615658363,1.0053380782918149,1.00355871886121
pr.twitter,1.0,0.9980769230769231,0.9615384615384616,1.001923076923077,0.926923076923077
RAND,1.0,1.2709904474610356,1.2252388134741077,0.8290598290598291,0.743086978381096
STREAM,1.0,1.0244907376887071,1.023468916869932,1.0238644604126839,1.0215571230799658
SPEC-RATE,1.0,0.8983546282410065,0.8801713920796577,0.8781537108882274,0.8692622855350551
SPEC-MIX,1.0,0.9900741959975762,0.9787873575797884,0.9800478698311088,0.9775252199076787
GAP,1.0,0.9373227284710707,0.8978283286606037,0.8117309671408055,0.7917929386587037
GMEAN,1.0,0.9241075553938404,0.898573684573373,0.8616876979779281,0.8487126707019286
