,metacache_rownum2048,metacache_rownum4096,metacache_rownum8192,ropr_entry_num32768,ropr_col_num4,metadata_predictor0
GemsFDTD,5205535,4443044,4187212,,,
omnetpp,62000305,56152695,29641591,,,
soplex,795400,212601,102549,,,
mcf,10863169,9013150,7280749,,,
lbm,546793,547504,547308,,,
libquantum,610025,357807,69705,,,
milc,4749359,4702134,4688947,,,
leslie3d,581626,393950,224672,,,
sphinx3,188585,34208,32720,,,
astar,45930700,37327323,22594391,,,
h264ref,8037,8037,8037,,,
sjeng,910798,741568,445641,,,
cactusADM,151401,142740,140813,,,
zeusmp,1233475,958209,936038,,,
bwaves,554651,529765,505511,,,
gcc,10145959,5164804,162618,,,
bzip2,7120,7120,7120,,,
xalancbmk,8078638,7423206,1675316,,,
mix1,154328,87788,84646,,,
mix2,4505608,2456602,946780,,,
bfs.road,12897620,1750868,270356,,,
bfs.web,1578566,1477005,1339889,,,
bfs.kron,102945920,99740666,88811385,,,
bfs.urand,132579306,127568087,113803491,,,
bfs.twitter,88479038,83376440,61939463,,,
bc.road,26192405,11778174,704650,,,
bc.web,1450987,1256430,1117362,,,
bc.kron,109621482,108054484,99958487,,,
bc.urand,102823429,101047694,94607581,,,
bc.twitter,90018382,85846646,75526941,,,
pr.road,551999,551999,551999,,,
pr.web,834680,621882,496742,,,
pr.kron,,,195686822,,,
pr.urand,,,,,,
pr.twitter,143008689,,47637166,,,
RAND,9687682,9375304,8758918,,,
STREAM,156253,156253,156253,,,
SPEC-RATE,1135499.7971479143,816674.2356728612,470457.02139025676,,,
SPEC-MIX,833871.3758272316,464392.26562896156,283092.10494113044,,,
GAP,2087909.8577931186,472501.5163806447,3694416.61320134,,,
GMEAN,1421288.3224012372,641425.475897917,1080853.6121733172,,,
