,metacache_rownum2048,metacache_rownum4096,metacache_rownum8192,ropr_entry_num32768,ropr_col_num4,metadata_predictor0
GemsFDTD,117008,120669,116104,,,
omnetpp,26997,27259,27237,,,
soplex,265585,265720,265665,,,
mcf,40895,40907,40770,,,
lbm,16,16,16,,,
libquantum,0,0,0,,,
milc,1296912,1295600,1296855,,,
leslie3d,11481,11243,14052,,,
sphinx3,38141,38134,38184,,,
astar,28046,28003,27797,,,
h264ref,42446,42446,42446,,,
sjeng,28507,28528,28593,,,
cactusADM,246421,246171,246142,,,
zeusmp,8,8,8,,,
bwaves,380361,380325,377125,,,
gcc,3939,3902,3982,,,
bzip2,22297,22297,22297,,,
xalancbmk,42287,42164,42097,,,
mix1,4189,4151,4164,,,
mix2,89523,88947,89195,,,
bfs.road,614544,614426,612475,,,
bfs.web,340712,341024,339708,,,
bfs.kron,281,283,278,,,
bfs.urand,6649,6598,6656,,,
bfs.twitter,15524,13142,17898,,,
bc.road,3758,3785,3774,,,
bc.web,79845,79700,79906,,,
bc.kron,183467,183564,183494,,,
bc.urand,114369,114396,114434,,,
bc.twitter,0,0,0,,,
pr.road,0,0,0,,,
pr.web,23661,23660,23657,,,
pr.kron,,,671,,,
pr.urand,,,,,,
pr.twitter,16,,16,,,
RAND,1498296,1499496,1499124,,,
STREAM,1499441,1500754,1498682,,,
SPEC-RATE,0.0,0.0,0.0,,,
SPEC-MIX,19365.222616845902,19215.072131012155,19271.948007401847,,,
GAP,0.0,0.0,0.0,,,
GMEAN,0.0,0.0,0.0,,,
