,metacache_rownum2048,metacache_rownum4096,metacache_rownum8192,ropr_entry_num32768,ropr_col_num4,metadata_predictor0
GemsFDTD,18178,18163,17140,,,
omnetpp,9383,5273,1349,,,
soplex,14244,2975,90,,,
mcf,27169,22259,4647,,,
lbm,8,8,2,,,
libquantum,0,0,0,,,
milc,85952,58424,44137,,,
leslie3d,1229,1127,598,,,
sphinx3,1849,15,0,,,
astar,20162,19028,18604,,,
h264ref,0,0,0,,,
sjeng,26946,25123,19235,,,
cactusADM,17988,9177,561,,,
zeusmp,0,0,0,,,
bwaves,21517,20698,18967,,,
gcc,838,78,1,,,
bzip2,0,0,0,,,
xalancbmk,11020,5672,895,,,
mix1,581,183,1,,,
mix2,15237,12507,7523,,,
bfs.road,206396,39354,18736,,,
bfs.web,41350,38679,34324,,,
bfs.kron,281,281,271,,,
bfs.urand,6648,6596,6645,,,
bfs.twitter,1517,1356,1415,,,
bc.road,3549,788,23,,,
bc.web,28180,26865,23868,,,
bc.kron,16046,10850,10059,,,
bc.urand,114337,114319,114266,,,
bc.twitter,0,0,0,,,
pr.road,0,0,0,,,
pr.web,3559,2862,1570,,,
pr.kron,,,663,,,
pr.urand,,,,,,
pr.twitter,16,,16,,,
RAND,1485962,1474127,1445801,,,
STREAM,123482,90711,25180,,,
SPEC-RATE,0.0,0.0,0.0,,,
SPEC-MIX,2975.348214915357,1512.8717724909802,86.73522929006414,,,
GAP,0.0,0.0,0.0,,,
GMEAN,0.0,0.0,0.0,,,
