,MCache(256KB),MCache(512KB),MCache(1MB),Attache.1CL(128KB),Attache.4CL(512KB),Ideal
GemsFDTD,1.091449105744056,1.0783858489616305,1.073534009562186,1.0006270035156164,0.9998660492489365,0.9999989225549344
omnetpp,1.6204073389399327,1.571414436595717,1.2951304521073745,0.9983478880778829,0.9988767451454018,0.9991847824450724
soplex,1.0123923517171736,1.0045670267446742,1.001254943602028,1.002236142207509,0.9992271956975691,0.9994813193101529
mcf,1.0853241974290004,1.0696775424600982,1.0570183871849712,0.9993738953239755,0.9997062201350604,0.998838292928006
lbm,1.011342238074998,1.0112764540486185,1.0112764540486185,1.0000295514181001,0.9965502849224755,1.0015294602583995
libquantum,1.0157039428376111,1.0090842923618397,1.0001282087356098,0.9986688893956077,0.9994735830807726,0.9994376549082112
milc,1.0643222911936463,1.0635345850399274,1.0639504681725402,0.9988491706795429,0.9989192072430063,0.9997186910297607
leslie3d,1.0103526394822453,1.0053157915026254,1.0037321811414743,1.0002054141248626,1.000167335799347,1.0006660254485482
sphinx3,1.0123820734630173,1.0042483646028817,1.0043071419211054,1.0033428577722896,1.0018687008282197,1.0024229972843879
astar,1.500055060265944,1.4082664906371516,1.244369207324236,1.0001962656758239,1.000770012459764,0.9996166344216657
h264ref,0.9989445640949455,0.9989445640949455,0.9989445640949455,0.9954633573252082,1.003523588263334,1.0067158717326374
sjeng,1.7646585900960152,1.6212235912319664,1.3742879346899357,0.9997099342489686,1.000016766806418,1.000124912707814
cactusADM,1.0078357577377302,1.0071819374276085,1.0075522985741814,0.9965173719597511,1.0007709324434595,1.0002540138271667
zeusmp,1.089250019532219,1.0696182844266453,1.0678285948485282,0.9995743649409982,0.9989478062735596,0.9980963906641668
bwaves,1.014025864887667,1.0117751885898116,1.0124727542902865,1.0002025135368087,1.0003901414212992,0.9992626329589775
gcc,1.0777958366504057,1.0403354702110448,1.000082921662441,0.9967069775314858,1.0007806488835376,0.9985346725210111
bzip2,0.99796739590906,0.99796739590906,0.99796739590906,1.0022503831006835,0.9983581847565153,0.9996721808758231
xalancbmk,1.213246952976832,1.1938537317696745,1.0441340385094255,0.9995124929966053,0.9996728464967315,1.0015753739617705
mix1,,,,,,
mix2,1.1404923463298027,1.1586541574422582,1.140702940801371,1.1244678728977342,1.1040428252360195,1.1071831027367471
mix3,1.165068859455521,1.115631758823275,1.0749310904630203,1.0518386688867591,1.0472835979002328,1.0458866034276957
bfs.road,1.1129388006272085,1.0152418634247822,1.0013658958392182,1.0005706632250175,0.9994677867731147,0.9995366354239675
bfs.web,1.083037412012765,1.0775241710491117,1.0699754815632876,1.0001963438375372,1.0007417201777602,0.9998277813893092
bfs.kron,1.6843536378599946,1.6618723518666643,1.5887364759521792,0.9999817360109897,0.9996995328431055,0.9996023570148675
bfs.urand,1.8545255914460916,1.8232733478142422,1.7351023006879205,1.0006167089578,0.9996281949172028,0.9999698833550069
bfs.twitter,1.6115015285327445,1.5767866575504326,1.4317226345071472,1.0002913426651359,0.9975948004614852,0.9978087911874101
bc.road,1.1659106605564795,1.0751543710292337,1.0039805146621699,1.0002595985061091,0.9997861730100546,1.000684152347223
bc.web,1.1198921673946614,1.1026080833088947,1.0954289387465086,1.0010934547872925,1.0028223823190916,1.0031711836841715
bc.kron,1.911182615194582,1.897215464222776,1.8308841894715224,0.9999152762320505,0.9991131088056557,0.9995974000985647
bc.urand,1.9264584242753606,1.9106609783576072,1.8517459387494821,0.9996101921559456,0.9995229256419491,0.9994836701229569
bc.twitter,1.8017467736608108,1.7669706692896539,1.6740886393436405,0.9997191392102762,1.0000274071533992,0.999514657547529
pr.road,1.0125595062570099,1.0125595062570099,1.0125595062570099,0.9980846465977691,0.9999103172193837,0.9983498006103411
pr.web,1.0282876614250194,1.0218343209070924,1.0181242573014084,1.0016131127774364,1.0022059717465124,1.0019005968681476
pr.kron,1.8797349739616855,,,1.0001458396965064,,0.9995886915243961
pr.urand,,,,0.9993173842732936,,0.9994247897885928
pr.twitter,1.6420742248879434,1.4707107100427996,1.2140466590591579,0.9997782366407745,0.9996078513564118,1.0003609679305
rand,1.9688297501276002,1.9376555002488003,1.8759254014806424,1.00000070000112,,1.00000060000096
seq,1.0156241015624101,1.0156241015624101,1.0156241015624101,,0.99999849999985,0.99999919999992
gmean,1.241771787722727,1.1975510392006083,1.1550065195342425,1.0042410175810015,1.0037745379806642,1.0039708004983923
