,MCache(256KB),MCache(512KB),MCache(1MB),Attache.1CL(128KB),Attache.4CL(512KB),Ideal
GemsFDTD,117.469008,115.703704,115.145594,195.05441,195.224342,100.95275
omnetpp,312.965148,320.910345,372.232136,460.174532,488.778806,487.672221
soplex,119.315968,119.477303,119.781918,168.246733,168.491919,119.655916
mcf,330.123069,330.870771,333.563637,333.580425,333.916223,342.430579
lbm,243.958626,244.033521,244.033521,245.257058,245.348971,245.517766
libquantum,196.031891,196.48415,196.874046,197.044199,196.79498,196.941922
milc,207.029282,207.108225,206.95067,209.861449,209.828834,215.151453
leslie3d,204.916208,204.829681,205.270729,223.447739,224.247605,205.512366
sphinx3,312.417378,313.485281,314.111245,318.194281,318.587866,313.737479
astar,209.33483,204.575909,196.046685,204.608859,204.699382,209.030597
h264ref,53.439526,53.439526,53.439526,55.220308,55.115828,53.482304
sjeng,70.487778,68.135721,61.567735,57.810467,57.507487,57.018876
cactusADM,204.119762,204.666965,203.861707,248.058677,247.795043,205.476904
zeusmp,76.60662,74.412849,74.391718,120.851373,121.560122,65.711639
bwaves,225.103817,225.576168,225.708141,288.226891,287.215931,225.910141
gcc,318.938187,323.614814,329.512213,316.324745,316.142389,329.97274
bzip2,150.354895,150.354895,150.354895,151.179112,151.456581,150.27818
xalancbmk,261.752867,263.644562,278.218595,270.205883,270.936325,282.883841
mix1,,,173.810599,,188.583869,
mix2,180.299779,182.747596,181.01158,206.615193,205.579419,182.26234
mix3,194.272706,194.292387,195.54314,209.165285,207.694325,195.276037
bfs.road,293.472392,309.986859,313.375555,309.6343,310.553555,313.701809
bfs.web,219.808319,220.628544,221.51367,224.749688,223.932502,229.032407
bfs.kron,259.343358,260.322339,264.167003,329.223935,330.102972,323.911334
bfs.urand,275.140144,277.87676,288.709569,479.0588,476.201323,497.275617
bfs.twitter,301.88939,305.511286,321.573429,423.671658,427.05532,388.303494
bc.road,262.842486,266.994016,276.943179,366.788071,366.6185,277.403783
bc.web,181.207128,181.529919,180.633706,208.663068,208.776991,181.468646
bc.kron,270.830798,270.568054,271.573998,429.554434,428.908613,245.859844
bc.urand,276.089798,275.783763,276.477376,448.087705,448.10104,269.279414
bc.twitter,234.085933,233.899281,233.521812,310.451138,310.430532,209.682137
pr.road,205.885914,205.885914,205.885914,207.894854,206.804499,208.053254
pr.web,231.204205,232.011432,232.936278,233.283343,233.25978,234.905704
pr.kron,318.411897,,,520.398756,,565.462273
pr.urand,,,,708.219947,,708.443988
pr.twitter,368.008734,414.265304,500.334882,643.885643,642.756906,613.735116
rand,265.971728,269.234997,275.977379,,,484.660538
seq,23.845831,23.845831,23.845831,23.815888,23.807293,23.810814
gmean,149.73108702033107,129.36070787918786,149.9456798328808,181.35754702012528,148.76091919151418,191.9061177803971
