,Metadata Cache (256KB),Metadata Cache (1MB),Attache (368KB COPR),Ideal
GemsFDTD,1.362150212,1.383778397,1.428271112,1.428271112
omnetpp,1.142316931,1.247488827,1.384136066,1.384136066
soplex,1.227610136,1.23627979,1.237868911,1.241731996
mcf,1.154651533,1.164006248,1.161806966,1.193358928
lbm,0.999769734,0.99722013,0.998655654,0.999769734
libquantum,0.999004753,1.002233622,1.002414168,1.002414168
milc,1.04290471,1.043207073,1.025145788,1.050098427
leslie3d,1.046397095,1.046397095,1.054378898,1.057010098
sphinx3,1.041780633,1.041358162,1.037927626,1.041780633
astar,0.926617139,1.001919254,1.021123024,1.0448292
h264ref,1.061232084,1.061232084,1.064534072,1.064534072
sjeng,0.991494103,1.004823468,1.012093548,1.01289918
cactusADM,1.155976534,1.159631936,1.160638251,1.163030223
zeusmp,1.157728399,1.172854092,1.182307884,1.182307884
bwaves,1.28143708,1.28709587,1.285089733,1.287944816
gcc,1.216148685,1.244084224,1.24310696,1.244084224
bzip2,1.024414201,1.024414201,1.023761459,1.024414201
xalancbmk,1.124593442,1.140041839,1.089288007,1.140041839
mix1,1.052759311,1.047685703,1.065718838,1.065718838
mix2,0.986587166,1.00504488,1.012093695,1.018599514
bfs.road,1.131823502,1.16940218,1.145157501,1.16940218
bfs.web,1.100343077,1.101714802,1.082757934,1.108205494
bfs.kron,1.004833084,1.077242902,1.425350634,1.428784293
bfs.urand,0.932576139,0.982678211,1.102601707,1.146103831
bfs.twitter,1.090810236,1.18955464,1.441408268,1.444632743
bc.road,1.358720954,1.475218288,1.479976222,1.479976222
bc.web,1.204470924,1.214807237,1.230750936,1.230750936
bc.kron,0.930711355,0.98283821,1.579858819,1.579858819
bc.urand,0.926860031,0.971270984,1.55432084,1.554966557
bc.twitter,0.951824776,1.042412646,1.531873208,1.533304607
pr.road,1.078169249,1.078169249,1.079559477,1.080133258
pr.web,1.07285952,1.071767933,1.06555314,1.074848721
pr.kron,0.99559885,1.003587503,1.006838816,1.095080584
pr.urand,0.991416283,0.99254963,1.001463631,1.001681232
pr.twitter,1.007597696,1.043299645,1.082503208,1.086264526
RAND,0.791420836,0.820463988,1.202014498,1.339654701
STREAM,0.997042008,0.998049675,1.000034848,1.000034848
SPEC-RATE,1.103290756,1.119832691,1.121283725,1.132609823
SPEC-MIX,1.019136313,1.026143826,1.038560213,1.038560213
GAP,1.046165261,1.086571136,1.234335361,1.251543136
GMEAN,1.062094848,1.087531682,1.153243481,1.172051008
