,MCache(256KB),MCache(512KB),MCache(1MB),Attache.1CL(128KB),Attache.4CL(512KB),Ideal
GemsFDTD,1.306754488848887,1.3291818690640458,1.3380541946637474,1.4246220872822366,1.4261117824026572,1.42742639265
omnetpp,0.7420857920918025,0.7685740121421176,0.9604964302377977,1.2858329282017924,1.3649576315484317,1.36495763155
soplex,1.222849629909038,1.2336657390580414,1.2398887384243062,1.2306962183421475,1.2351632708679456,1.24120852545
mcf,1.1057059907120768,1.1156141812306317,1.130487941129117,1.1618391577528386,1.1626608636984062,1.19331760647
lbm,0.995666452804429,0.9960274008063185,0.9960274008063185,0.9987020784321627,1.0016408222453226,1.00164082225
libquantum,0.9957267949264993,0.9981861450652588,1.0017391593841338,1.0022764957399803,1.0002029555693799,1.00227649574
milc,1.0244014276775988,1.0255180342546115,1.0241505936633584,1.0249840613558046,1.0247422399520802,1.04996362337
leslie3d,1.0568263980288772,1.0581197700593319,1.0589636698525027,1.0569060427924808,1.0622819559549208,1.06228195595
sphinx3,1.034131596853953,1.0377360895363759,1.0395672037236834,1.035809162183416,1.0388024800251467,1.03956720372
astar,0.792581853599668,0.8296763190394029,0.9155045804563301,1.0215100825296173,1.0217692623209984,1.04478089475
h264ref,1.055413575396772,1.055413575396772,1.055413575396772,1.0644416383620041,1.0529203845370922,1.06444163836
sjeng,0.9620515113117305,0.9717295985265344,0.9898536588761927,1.0120276560054513,1.0119984162488893,1.0128654105
cactusADM,1.1522165027204418,1.155468632921544,1.150468367556393,1.1579308475693264,1.1523498117183488,1.16290696522
zeusmp,1.1330705674648078,1.1488717804555102,1.1526867447804792,1.1770565170909144,1.1799361460090576,1.18014447939
bwaves,1.2681873661540903,1.2731280672567695,1.2730792442373158,1.2573380266477991,1.2524225698063753,1.28773622283
gcc,1.1667643760467818,1.1994220542149883,1.2401083890045492,1.191514461810132,1.1862009117289556,1.24277753731
bzip2,1.02854979454496,1.02854979454496,1.02854979454496,1.0235896010376508,1.0296192482311477,1.02961924823
xalancbmk,1.0297077048379217,1.0427165075833646,1.1177318546424775,1.0892866193373494,1.0918126372289436,1.14049005976
mix1,,,,,,
mix2,1.0394626193421634,1.01671126925079,1.0251189457770664,1.0258697120464209,1.043010367773634,1.05066959827
mix3,0.9544780579927088,0.9811124185972953,1.0003460149139003,1.0057666985296434,1.009029536448581,1.01859951375
bfs.road,1.0808712478806108,1.1538582171707057,1.1679693900916126,1.1458261397157723,1.1502997301296296,1.16873092627
bfs.web,1.067591943105059,1.0714105936394487,1.075386129269789,1.0825399952699308,1.0782535402595133,1.10802658318
bfs.kron,0.7718748789972362,0.7869644027475748,0.8422442725256349,1.4211753124685416,1.4252235301343552,1.42860586778
bfs.urand,0.6780980552576917,0.686906421400176,0.7315657364415415,1.103432664035193,1.0979444167291534,1.1461465567
bfs.twitter,0.7867470401755461,0.8089902954610336,0.9134413612826299,1.4086288421888318,1.423067481185246,1.44427805214
bc.road,1.236567035908992,1.3716911505709164,1.473220850245154,1.4786974767100436,1.4787054590248636,1.47870545902
bc.web,1.1579440033563793,1.1789603148101808,1.1778418981241874,1.2307509360121591,1.22893674402064,1.23075093601
bc.kron,0.6489291871343513,0.6546337552591551,0.6897781913840024,1.5798258843790423,1.578655968948161,1.57982588438
bc.urand,0.6416345399601465,0.6480005010684167,0.6774751150269838,1.5542472754050904,1.5544121889906473,1.55489296135
bc.twitter,0.7196841732300946,0.7403445951063203,0.8021059513406935,1.5307944545017453,1.5298078477966737,1.53270728095
pr.road,1.0662917045801954,1.0662917045801954,1.0662917045801954,1.0788316189121971,1.0712235618028532,1.07933519635
pr.web,1.0639765571772886,1.0642324096420281,1.066354107097576,1.0659091579278759,1.0650212754895678,1.07505526919
pr.kron,0.5963183973840106,0.6032203422542834,0.6204485025250128,1.0069380854518606,1.0059914950994144,1.09494838111
pr.urand,0.5871622083027792,0.5947455799294566,0.6096833692162033,1.000495418332911,1.000074985071342,1.00071280922
pr.twitter,0.6718101110672113,0.7358833205162959,0.86984906688963,1.0817325040144665,1.0807765134514007,1.0854882431
rand,0.5758896523902794,0.5870134274767667,0.6102485523545279,1.19139784066186,,1.33965470084
seq,0.9966804356554514,0.9966804356554514,0.9966804356554514,1.0000348481137773,0.9999857958807425,1.00003484811
gmean,0.9338580840131239,0.9495390944541243,0.9819523518322204,1.1514990053445087,1.1484773638393593,1.17004743883
