,Metadata Cache,Attache,Ideal
GemsFDTD,1.6121149276052797,1.6313499833386227,1.6298188536019316
omnetpp,0.9893215856526678,1.5068645145469377,1.6021032613398947
soplex,1.334723180140496,1.343240644079947,1.346842875904971
mcf,1.1989191951245222,1.231781693464067,1.2535106508197622
lbm,1.0122006827859866,1.009062604614871,1.0139159215187135
libquantum,0.994287239543521,0.9985799812232738,0.9986162587599264
milc,1.0517784881594865,1.066095804097415,1.0663395342697035
leslie3d,1.0940656394106407,1.094275796872542,1.0955828791679225
sphinx3,1.0564420358731588,1.0684141775496308,1.063526464841668
astar,1.2585736276852966,1.3263382820472172,1.3331166986147884
wrf,1.031179084389832,1.0331660359916117,1.0449353910605268
h264ref,1.2104094702050172,1.2095825352716694,1.215215660564387
sjeng,0.9699738030973144,1.0133646384599388,1.0157654071096247
cactusADM,1.6594304596297993,1.6507679559334782,1.6584609459602995
zeusmp,1.5386083598478026,1.5468816306285167,1.5581624980216011
bwaves,1.004057008186987,1.005601268112951,1.0085542016782907
gcc,1.2784183676393281,1.4852770118105727,1.5139859145797363
bzip2,0.992221619298587,1.002222655313156,1.0069686963863516
xalancbmk,1.1575234760503954,1.1549673103722455,1.2499766275672801
bfs-road.sg,1.0192556221940838,1.0188806600019606,1.0173462279345207
bfs-web.sg,1.3232845720462851,1.3244557771517251,1.3353942637911107
bfs-kron.sg,1.2762000671411806,1.5804746469933224,1.5869110114964593
bfs-urand.sg,0.8991949759788576,1.0177410020228326,1.018041929907479
bc-road.sg,1.3127282139952157,1.4217775264617984,1.429083648461559
bc-web.sg,1.2945809617793547,1.2622210875827997,1.3129799234226702
bc-kron.sg,0.8307454859558991,1.7663301400793148,1.7706147305131756
bc-urand.sg,0.8206206213797574,1.7166978209957058,1.7429224672205927
cc-road.sg,1.2519315323223872,1.2158267211511131,1.2602658099672805
cc-web.sg,1.169389276252594,1.1406640577227243,1.1782333008501573
cc-kron.sg,0.8569550127081719,1.4452750156515046,1.538100994094597
cc-urand.sg,,,
pr-road.sg,1.0677560114370346,1.0687516592417825,1.0727096315746116
pr-web.sg,1.2044263609922417,1.1935162939786668,1.1884556375368855
pr-kron.sg,,1.0646562864280407,1.1137435355713985
pr-urand.sg,,1.0114467662932531,1.011860649860778
mean,1.149103655140912,1.2537220583966238,1.2721194854109017
