,MCache.256KB,MCache.512KB,MCache.1MB,Attache_old,Attache.128KB_1C,Attache.128KB_16C,Ideal
GemsFDTD,1.306754488848887,1.3291818690640458,1.3380541946637474,1.4202150172340409,1.4246220872822366,,1.4274263926491613
omnetpp,,0.7685740121421176,0.9604964302377977,1.2664981133075461,1.2858329282017924,,1.3622199868084666
soplex,1.222849629909038,1.2336657390580414,1.2398887384243062,1.2137844768461041,1.2306962183421475,,1.2412085254509957
 mcf,,,,,,,
lbm,0.995666452804429,0.9960274008063185,0.9960274008063185,0.9997544314919287,,,0.9986927696958101
libquantum,0.9957267949264993,0.9981861450652588,1.0017391593841338,1.001339137992908,1.0022764957399803,,1.0009862656176214
milc,1.0244014276775988,1.0255180342546115,1.0241505936633584,1.0310478115346842,,,1.0499636233655087
leslie3d,1.0568263980288772,1.0581197700593319,1.0589636698525027,1.05784511405147,,,1.0598955267918715
sphinx3,1.034131596853953,1.0377360895363759,1.0395672037236834,1.0428460099974748,1.035809162183416,,1.03879418553597
astar,,0.8296763190394029,0.9155045804563301,1.0285545241237,,,1.0447808947538746
h264ref,1.055413575396772,1.055413575396772,1.055413575396772,1.05500529366616,1.0644416383620041,,1.0452766039363546
sjeng,0.9620515113117305,0.9717295985265344,0.9898536588761927,1.0125365971816713,1.0120276560054513,,1.012865410504352
cactusADM,1.1522165027204418,1.155468632921544,1.150468367556393,1.150831597748815,1.1579308475693264,,1.162906965221034
zeusmp,1.1330705674648078,1.1488717804555102,1.1526867447804792,1.171119904815885,1.1770565170909144,,1.1801444793923852
bwaves,1.2681873661540903,1.2731280672567695,1.2730792442373158,1.2371853527641337,1.2573380266477991,,1.2877362228302285
 gcc,,,,,,,
 bzip2,,,,,,,
xalancbmk,1.0297077048379217,1.0427165075833646,1.1177318546424775,1.049780102224717,1.0892866193373494,,1.1404900597588852
bfs.road,1.0808712478806108,1.1538582171707057,1.1679693900916126,1.1470354929283022,,,1.1687309262680323
bfs.web,1.067591943105059,1.0714105936394487,1.075386129269789,1.0682264989933263,1.0825399952699308,,1.108026583175177
bfs.kron,,,,1.4081139444029944,,,1.4286058677846016
bfs.urand,,,,1.106091362023918,,,1.146146556695466
bfs.twitter,,,,1.362342357739461,,,1.4442780521439702
bc.road,,1.3716911505709164,,1.473881834500942,,,1.476904232316049
bc.web,1.1579440033563793,1.1789603148101808,1.1778418981241874,1.2246673168140465,1.2307509360121591,,1.229396528211773
bc.kron,,,,1.5677731336558116,,,1.5790821891159226
bc.urand,,,,1.4890295900171626,,,1.554892961351606
bc.twitter,,,,1.4849293416995564,,,1.5327072809494595
pr.road,1.0662917045801954,1.0662917045801954,1.0662917045801954,1.0832127821043493,,,1.079335196350148
pr.web,1.0639765571772886,1.0642324096420281,1.066354107097576,1.0657957845601211,,,1.0750552691880753
pr.kron,,,,,,,1.0949483811095864
pr.urand,,,,,,,
pr.twitter,,,,,,,
mix1,,,,,,,
mix2,,,,,,,
mix3,,,,,,,
rand,0.5758896523902794,0.5870134274767667,0.6102485523545279,1.1262701745104118,,,1.3396547008400261
stream,0.9966804356554514,0.9966804356554514,0.9966804356554514,1.0000310500339973,,,1.000008918483256
gmean,1.0328908038862001,1.035118205309072,1.0408196130198168,1.1473348495807438,1.0530006330597153,,1.1753731573845512
