,Metadata Cache(256KB),Metadata Cache(1MB),Attache (368KB CoPR),Ideal
GemsFDTD,0.6026632620881907,0.5950358792878201,0.5705638326743115,0.5699804776388733
omnetpp,0.780610813267241,0.7151372137475429,0.6618894519514728,0.6571735329899562
soplex,0.6646351799139903,0.6611769137007153,0.6628256050839931,0.6586409542210024
mcf,0.8236584759104585,0.8162141713365145,0.8021778817993797,0.7957496811742996
lbm,0.9979270906629601,1.0003051996628016,0.9987594307738427,1.0012756087968648
libquantum,0.9997891768092456,0.9975100237223791,0.997754400672838,0.998791345317122
milc,0.9465856820415465,0.9459184227130863,0.9535867407600568,0.944991863962672
leslie3d,0.895307807333815,0.9049730305263912,0.8992826099459701,0.89884701337055
sphinx3,0.9244249057093633,0.923748650934515,0.9292055111261649,0.9258489907022357
astar,0.9334350897458774,0.929422705566811,0.9479832714022446,0.9395842507593881
h264ref,0.7867410987850261,0.7867410987850261,0.784622206385151,0.7999984613709515
sjeng,0.9587083689340015,0.9594094641671499,0.9471984965305361,0.9469863558381297
cactusADM,0.7690163474423798,0.7667568038326362,0.7648951102308433,0.7655570999870968
zeusmp,0.6810002402550285,0.6725576161374098,0.659171101944108,0.6577105901002811
bwaves,0.663976473511613,0.6606137823590724,0.6661332482644703,0.6597170615073041
gcc,0.6941853551818582,0.6729650854516076,0.6822334850542215,0.672918389456687
bzip2,0.9675395950316295,0.9675395950316295,0.9649625403538901,0.9669706386176314
xalancbmk,0.8106074592802046,0.8041033111137491,0.8176324624169786,0.8059785464205096
mix1,0.83447688294228,0.8160286712531356,0.830545473049587,0.8145988923176514
mix2,0.9130422965494203,0.9059374896761968,0.9007534104613444,0.8930202923881879
bfs.road,0.8238155246627186,0.8057313880379837,0.8130971400683686,0.8065306479244478
bfs.web,0.8158449318388103,0.8149971475164645,0.8200057500167954,0.8118524739865447
bfs.kron,0.8455130667694158,0.8057971081630219,0.5926270978665823,0.591453739113776
bfs.urand,0.9185950291790017,0.8945078799806617,0.8818107874371859,0.8716305189308259
bfs.twitter,0.8038070745136118,0.7432572847750265,0.6008203924070136,0.594865784338026
bc.road,0.6568846391268407,0.6118392055361347,0.6110021704216835,0.6121450497121986
bc.web,0.707013259656511,0.6998823910703021,0.6838583054107434,0.6853222952587885
bc.kron,0.9092447718498589,0.8740829790760035,0.5534907336938028,0.5534425135152808
bc.urand,0.9115823837085858,0.8812262924623725,0.5680742424602885,0.5679554328152526
bc.twitter,0.8666478536585237,0.8103285366971382,0.5708095572784975,0.5705248125653258
pr.road,0.8469112201780125,0.8469112201780125,0.8452869631089384,0.8451044088721699
pr.web,0.8022033590714363,0.8042948247822012,0.8045835299071197,0.8013760402878142
pr.kron,0.8997509584385722,0.9003430685005688,0.9198458029719508,0.9015930694764234
pr.urand,0.9011455535715877,0.9103045974961609,0.9965732568219199,0.9966089253209054
pr.twitter,0.9165741854426998,0.925881607417802,0.9076168415781439,0.9073122026353643
RAND,1.0255580242315998,1.0039413934875598,0.7705940473720962,0.749281045090957
STREAM,0.9587552168105545,0.9570823352709018,0.9549365485751602,0.9549573572643566
SPEC-RATE,0.8179041864120691,0.8102874769156627,0.8053452076208608,0.8027130241096009
SPEC-MIX,0.8728761021009918,0.8598086798462017,0.864937377728958,0.8529087530308287
GAP,0.8380793558812213,0.817417932126204,0.7298583361668982,0.7267995245084182
GMEAN,0.8379842510583273,0.8245705658525129,0.7808736542413413,0.7769899685430331
