,Metadata Cache(256KB),Metadata Cache(512KB),Metadata Cache(1MB),Attache.RoPR(128KB),Attache.RoPR+LiPR(384KB),Ideal
GemsFDTD,0.6419696127460199,0.6314139437760935,0.6265794958038572,0.5705638326743115,0.570003538782,0.569980477639
omnetpp,1.1008844038659171,1.0662830936902767,0.869949601144781,0.6618894519514728,0.653178809031,0.653178809031
soplex,0.6686097016997612,0.663525114679367,0.6603183782448189,0.6628256050839931,0.660069571574,0.658640954221
mcf,0.8636833558889636,0.8532552599064325,0.8432499113640833,0.8021778817993797,0.802177881799,0.795749681174
lbm,1.0038118604893365,1.0028992317347158,1.002932447832418,0.9987594307738427,0.995161498212,0.995161498212
libquantum,1.0053604015507727,1.0022563935457662,0.9981795416659209,0.997754400672838,0.997754400673,0.997754400673
milc,0.971129625266293,0.9704190234240354,0.9713963536797035,0.9535867407600568,0.95358674076,0.944991863963
leslie3d,0.900910241346166,0.8982285105418087,0.8989320200760912,0.8992826099459701,0.895747901206,0.895747901206
sphinx3,0.9311070458363454,0.9266887822732184,0.9264832293704183,0.9292055111261649,0.925619389809,0.925619389809
astar,1.1673596851771042,1.1209261924395524,1.0413377905675512,0.9479832714022446,0.947983271402,0.939584250759
h264ref,0.7925857391010765,0.7925857391010765,0.7925857391010765,0.784622206385151,0.784622206385,0.784622206385
sjeng,1.1070471958240014,1.0792680619959283,1.030857246423599,0.9471984965305361,0.947198496531,0.946986355838
cactusADM,0.7730041597105712,0.7709106648670685,0.7729230881926398,0.7648951102308433,0.764895110231,0.764895110231
zeusmp,0.7136119243725612,0.7000657916775291,0.697994629047327,0.659171101944108,0.657846694423,0.6577105901
bwaves,0.6734166069394479,0.6685242073894941,0.6696637871066558,0.6661332482644703,0.666133248264,0.659717061507
gcc,0.7288460260204641,0.7030306078490098,0.6741177369891945,0.6822334850542215,0.682233485054,0.672918389457
bzip2,0.9630948201952562,0.9630948201952562,0.9630948201952562,0.9649625403538901,0.960049800155,0.960049800155
xalancbmk,0.9052692576697752,0.8918025775827289,0.824113937633666,0.8176324624169786,0.817117969402,0.805978546421
mix1,0.8300056922754904,0.8479647899651507,0.8372077922170199,0.830545473049587,0.815526996204,0.814598892318
mix2,0.9577831351699193,0.9344241092155049,0.9130366600706225,0.9007534104613444,0.897204329723,0.893020292388
bfs.road,0.872922859720242,0.816125651801173,0.807147384251303,0.8130971400683686,0.810411504831,0.806530647924
bfs.web,0.8506193807523474,0.8475104501852412,0.8432207987192419,0.8200057500167954,0.820005750017,0.811852473987
bfs.kron,1.15991703626366,1.1388009653943916,1.0738772951469207,0.5926270978665823,0.591948824633,0.591453739114
bfs.urand,1.313600226074845,1.296516465020528,1.2360823293026422,0.8818107874371859,0.881334526848,0.871630518931
bfs.twitter,1.1021575705821651,1.073149490023232,0.9530991703919224,0.6008203924070136,0.597399394279,0.594865784338
bc.road,0.7325521910435405,0.6614639169224993,0.613385454844883,0.6110021704216835,0.610719283364,0.610719283364
bc.web,0.7535017807109003,0.7396481649251647,0.7363338152044123,0.6838583054107434,0.683858305411,0.683858305411
bc.kron,1.3411332961683506,1.329248017042073,1.2698151401261855,0.5534907336938028,0.553296361215,0.553296361215
bc.urand,1.351682938084199,1.3382032931325003,1.2867552420156956,0.5680742424602885,0.568030694272,0.567955432815
bc.twitter,1.2336601351172252,1.2029102561391685,1.1195674423366315,0.5708095572784975,0.570809557278,0.570524812565
pr.road,0.8596279978177583,0.8596279978177583,0.8596279978177583,0.8452869631089384,0.845286963109,0.845104408872
pr.web,0.8124542500680265,0.8118742116567382,0.8099507228127084,0.8045835299071197,0.804583529907,0.801376040288
pr.kron,1.3613466866410016,1.349350607631799,1.3204539646684468,0.9198458029719508,0.919845802972,0.901593069476
pr.urand,1.376499910448794,1.3636853556470745,1.3410126216227425,0.9965732568219199,0.996573256822,0.996573256822
pr.twitter,1.2553335551188844,1.1759242080459884,1.0449352261948919,0.9076168415781439,0.907616841578,0.907312202635
RAND,1.4974716303489863,1.472771095951524,1.423555068348873,0.7705940473720962,0.768162664124,0.749281045091
STREAM,0.9593687169752309,0.9593687169752309,0.9593687169752309,0.9549365485751602,0.954936548575,0.954936548575
SPEC-RATE,0.8697548310913474,0.8588557237352898,0.8367469878227628,0.8053452076208608,0.803666667885,0.800734621968
SPEC-MIX,0.8916083524488195,0.8901453496532454,0.8743005240710585,0.864937377728958,0.855391344357,0.852908753031
GAP,1.063803898505264,1.0373211476416846,0.9942057226980194,0.7298583361668982,0.729294373829,0.726568427212
GMEAN,0.9597426573405896,0.9439304241503962,0.9146001733330305,0.7808736542413413,0.779148575759,0.775980613597
