,Metadata Cache (256KB),Metadata Cache (1MB),Attache (368KB COPR),Ideal
GemsFDTD,0.6343509697025539,0.6205386670015977,0.5705638326743115,0.5699804776388733
omnetpp,1.0190285707187157,0.8291108117227242,0.6618894519514728,0.6571735329899562
soplex,0.6687519485052081,0.6616995649306765,0.6628256050839931,0.6586409542210024
mcf,0.8555331055023265,0.8375410603900092,0.8021778817993797,0.7957496811742996
lbm,1.001035564424532,1.0034165699983135,0.9987594307738427,1.0012756087968648
libquantum,1.0042144141533786,0.9980156770465424,0.997754400672838,0.998791345317122
milc,0.9669935394789285,0.9659096381485409,0.9535867407600568,0.944991863962672
leslie3d,0.8984427280662793,0.9061846008109727,0.8992826099459701,0.89884701337055
sphinx3,0.9272188627783283,0.9242291119990427,0.9292055111261649,0.9258489907022357
astar,1.1138810405599346,1.0182194295592963,0.9479832714022446,0.9395842507593881
h264ref,0.7875202089668744,0.7875202089668744,0.784622206385151,0.784622206385151
sjeng,1.106091871581386,1.0323922411750588,0.9471984965305361,0.9469863558381297
cactusADM,0.7716465719464659,0.7689718685240112,0.7648951102308433,0.7655570999870968
zeusmp,0.7077400614908603,0.6928494654168403,0.659171101944108,0.6577105901002811
bwaves,0.6688309346747999,0.6650331922100909,0.6661332482644703,0.6597170615073041
gcc,0.7217046303915821,0.6734061298553028,0.6822334850542215,0.672918389456687
bzip2,0.9679702359240473,0.9679702359240473,0.9649625403538901,0.9669706386176314
xalancbmk,0.8808012558921504,0.8186488153888059,0.8176324624169786,0.8059785464205096
mix1,0.8503552393498389,0.8247079888352555,0.830545473049587,0.8145988923176514
mix2,0.947452787725616,0.9131983104126692,0.9007534104613444,0.8930202923881879
bfs.road,0.8644519417252945,0.8066240222283326,0.8130971400683686,0.8065306479244478
bfs.web,0.8421407290211278,0.8373055640439969,0.8200057500167954,0.8118524739865447
bfs.kron,1.0948644744399143,1.0209124921880646,0.5926270978665823,0.591453739113776
bfs.urand,1.2383716117278667,1.1689999190523088,0.8818107874371859,0.8716305189308259
bfs.twitter,1.0312860598322116,0.9025040391762232,0.6008203924070136,0.594865784338026
bc.road,0.7182781582061627,0.6134907105600814,0.6110021704216835,0.6121450497121986
bc.web,0.7465688176055728,0.7303957244721124,0.6838583054107434,0.6853222952587885
bc.kron,1.2518239190688059,1.1864511973616299,0.5534907336938028,0.5534425135152808
bc.urand,1.2608686800221964,1.2026318065580583,0.5680742424602885,0.5679554328152526
bc.twitter,1.1679963427475488,1.0631649481086263,0.5708095572784975,0.5705248125653258
pr.road,0.8507934788911967,0.8507934788911967,0.8452869631089384,0.8451044088721699
pr.web,0.811008487381076,0.8095297546002218,0.8045835299071197,0.8013760402878142
pr.kron,1.2423787664748085,1.2117411415028767,0.9198458029719508,0.9015930694764234
pr.urand,1.2542615795392915,1.2296938608475876,0.9965732568219199,0.9966089253209054
pr.twitter,1.1642762298366856,1.0083928602017451,0.9076168415781439,0.9073122026353643
RAND,1.4536149232803708,1.3949482628484604,0.7705940473720962,0.749281045090957
STREAM,0.9612250843342327,0.958736936893343,0.9549365485751602,0.9549573572643566
SPEC-RATE,0.8593421152887196,0.8315698282269715,0.8053452076208608,0.8027130241096009
SPEC-MIX,0.8975920242956086,0.8678259860065184,0.864937377728958,0.8529087530308287
GAP,1.0155127707457743,0.9563202527195285,0.7298583361668982,0.7267995245084182
GMEAN,0.9365173707231983,0.8968754219504472,0.7808736542413413,0.7769899685430331
