,MCache(256KB),MCache(512KB),MCache(1MB),Attache.1CL(128KB),Attache.4CL(512KB),Ideal
GemsFDTD,0.4742383256406556,0.46290821849432695,0.4587858080601621,0.5111317067825137,0.5108084813266995,0.403733050514704
omnetpp,0.970823533610213,0.9426388019506833,0.7831303199794709,0.616628969040801,0.6060304049719777,0.6062775131805817
soplex,0.5476834970194389,0.5419108923186825,0.5394819816529677,0.6181243185595204,0.6162487307711136,0.5384761414075372
mcf,0.7568894637867861,0.7490671263633922,0.7411704646686714,0.7115440329602998,0.7115105763643055,0.7052383762313174
lbm,0.9999549130992877,0.9997749851435068,0.9997749851435068,0.9977000393625388,0.9945055916084937,0.9985652787483164
libquantum,0.8629037745544459,0.8606777157969907,0.8572301560202908,0.8568372564395983,0.8580758535317131,0.8577211712090645
milc,0.9580551343763558,0.9574481807922367,0.9583338901319349,0.9514235087784086,0.9515381920074254,0.9426541434934621
leslie3d,0.8320575065983277,0.8303711882963092,0.830115109791048,0.8628951076251173,0.860520915051654,0.8292510590069019
sphinx3,0.9006872141845792,0.8981066071577595,0.8976167322300332,0.9075182896976823,0.905615705082185,0.8973521078502122
astar,0.9962431755817437,0.9575368937861862,0.8847641593620226,0.7967701086487828,0.7969479362260307,0.7897877470507556
h264ref,0.7754937687110696,0.7754937687110696,0.7754937687110696,0.7740953708299229,0.7817647032298861,0.7826839993353669
sjeng,1.031807545051014,1.0160216330165543,0.9856806516885387,0.9302809734997871,0.9293760166699598,0.9271639939724364
cactusADM,0.6804673158387845,0.6794645931731436,0.6809489930981697,0.7426324452633849,0.7458668921090874,0.6754240181550077
zeusmp,0.5705524763065788,0.5567753761539735,0.5548546610790753,0.6147668869189786,0.614611074441053,0.5158570513912486
bwaves,0.5586242085984134,0.5570096077546866,0.5571040704123806,0.6392939854483805,0.6404222530569263,0.5488033154443374
gcc,0.6742290830002465,0.6541386034083274,0.6318698079729625,0.6410255622369646,0.6436698988558848,0.6308042672125721
bzip2,0.9122962465599749,0.9122962465599749,0.9122962465599749,0.9174202153559402,0.9130263970814418,0.916173660319514
xalancbmk,0.8002915496245412,0.7906740889726053,0.7328407610722203,0.7306687859053678,0.7301117656814647,0.7167883497724692
mix1,,,,,,
mix2,0.7337098126563172,0.7509320515327332,0.7413406419568346,0.7832368590711226,0.7686816780038835,0.7212049197716356
mix3,0.8564957624341412,0.8339904511536238,0.81550655062771,0.831458862977304,0.8261666550217082,0.7971421354010113
bfs.road,0.8151137921541335,0.7753919969671017,0.7689557912826703,0.776605441188784,0.7749452873687531,0.7685133129422008
bfs.web,0.8005360681099012,0.7984552734299597,0.7958965058387343,0.7837367662409195,0.7853100038025118,0.7738839939200293
bfs.kron,1.0136844977599468,0.9974182330969895,0.9435567922720121,0.5756621574483817,0.5750292705327891,0.5677560444001443
bfs.urand,1.147105057246099,1.1352949858484576,1.0885486176304453,0.8715996957617617,0.8721582980210826,0.8622658952332823
bfs.twitter,0.9572379435116676,0.9335972222455571,0.8346607389789257,0.5763031039372465,0.5734379365190477,0.5310485861049841
bc.road,0.5934462987904632,0.5266956218438649,0.4881712591300033,0.5694123720532777,0.5692324423785081,0.4865458661999012
bc.web,0.660403730350256,0.6473930484426049,0.644604472568029,0.64268295141011,0.6438219346058813,0.6036049954440488
bc.kron,1.1469230557163952,1.1354563086494895,1.0785432911101553,0.5365292535781333,0.5363619019920627,0.38903157411736655
bc.urand,1.1627291596310347,1.1494760209454489,1.099274572794395,0.5519941713252858,0.5519466482821616,0.40673326334397464
bc.twitter,1.0531859927541785,1.0222546606253038,0.9400738846496538,0.5092642716834466,0.5095552217935215,0.41967670568045773
pr.road,0.853632210164532,0.853632210164532,0.853632210164532,0.8461315758801841,0.8495745205997755,0.8460939916522763
pr.web,0.7942019763987648,0.7941488673173234,0.793485013806073,0.7913430260471717,0.7919532649840787,0.7875791829209202
pr.kron,1.162836115277095,,,0.7897109257936684,,0.7716380110821733
pr.urand,,,,0.9975010507257916,,0.997530296718708
pr.twitter,1.101860805210804,1.0504000901045685,0.9578817946628982,0.8805187002091609,0.8801205109185064,0.8462042304170585
rand,1.2066485106702418,1.1912188260135907,1.160756739269634,,,0.749281045090957
seq,0.958589018128234,0.958589018128234,0.958589018128234,0.9549365485751602,0.9549654779222675,0.9549573572643566
gmean,0.8544897183195631,0.8384780453193305,0.8151993666443511,0.7499416101469666,0.7538965392845367,0.7009086031826097
