,MCache(256KB),MCache(512KB),MCache(1MB),Attache.1CL(128KB),Attache.4CL(512KB),Ideal
GemsFDTD,1063.342601,1055.751883,1053.334344,1249.439009,1249.954583,988.850394
omnetpp,1666.759263,1676.136847,1740.236443,1834.369971,1913.780167,1910.720547
soplex,973.514785,971.773886,972.298241,1105.774414,1106.420584,971.518457
mcf,1753.087816,1750.516923,1755.155455,1731.726647,1732.869921,1762.88318
lbm,1412.497838,1412.755645,1412.755645,1413.609459,1413.229662,1414.822199
libquantum,1103.447385,1103.319165,1102.811175,1102.896998,1102.20628,1102.613523
milc,1373.644296,1374.270392,1373.707525,1364.911836,1364.754302,1385.288546
leslie3d,1306.220705,1305.168753,1305.806865,1354.733765,1357.878159,1305.595552
sphinx3,1453.348611,1454.235717,1456.007134,1466.74673,1467.901514,1454.495532
astar,1434.712902,1443.509779,1471.782257,1478.874124,1479.579495,1499.308952
h264ref,775.443947,775.443947,775.443947,780.666883,779.867844,775.116735
sjeng,868.163452,863.481152,853.319575,823.400239,822.575495,821.320718
cactusADM,1231.748968,1233.405375,1230.75075,1350.944129,1350.288319,1233.963508
zeusmp,859.711689,850.65187,850.532309,962.294634,964.404368,809.589429
bwaves,1249.370904,1250.61315,1250.777272,1417.558146,1414.508338,1246.326563
gcc,1476.834389,1472.932901,1471.053283,1433.889945,1433.38418,1471.733485
bzip2,1186.741798,1186.741798,1186.741798,1187.652004,1188.926547,1185.270072
xalancbmk,1365.226136,1365.859909,1357.030619,1318.575874,1320.626067,1354.331077
mix1,,,1166.920236,,1201.195883,
mix2,1114.298751,1115.492665,1110.35156,1173.961251,1171.395627,1107.116403
mix3,1270.256266,1271.393624,1267.587298,1299.386042,1295.304036,1261.651501
bfs.road,1609.648756,1634.604439,1640.860822,1625.766113,1628.624532,1640.985879
bfs.web,1247.112693,1248.320315,1248.937015,1238.037158,1235.610337,1251.254214
bfs.kron,1557.556745,1562.523499,1581.97741,1628.581518,1631.424959,1614.612695
bfs.urand,1640.81128,1645.012627,1679.825335,2028.737446,2019.940662,2084.703534
bfs.twitter,1639.624721,1644.342558,1659.892999,1767.408623,1776.647832,1669.838628
bc.road,1473.638069,1450.800803,1444.214848,1690.822322,1690.29716,1443.005093
bc.web,1176.535343,1174.289345,1168.12202,1216.955942,1217.315622,1141.701851
bc.kron,1624.299949,1622.19651,1623.609862,1849.853228,1847.906779,1340.677204
bc.urand,1639.355819,1636.749382,1636.464006,1885.217815,1885.255524,1389.687392
bc.twitter,1551.556748,1549.221971,1543.527478,1595.808327,1595.690941,1316.723915
pr.road,1303.610165,1303.610165,1303.610165,1307.351839,1303.414384,1307.90399
pr.web,1217.473563,1217.684896,1219.09259,1215.294381,1215.218452,1219.892438
pr.kron,1746.284889,,,2002.577306,,2127.774674
pr.urand,,,,2522.927418,,2523.549594
pr.twitter,1822.031136,1902.594483,2050.871003,2344.450064,2341.318862,2260.907737
rand,1678.990126,1689.536854,1711.496666,,,2425.301326
seq,648.897614,648.897614,648.897614,648.600747,648.588581,648.598063
gmean,899.1951625492512,739.6017927262089,894.2396622104693,956.2853574319365,768.5208491705451,1119.9342601571648
