,MCache(256KB),MCache(512KB),MCache(1MB),Attache.1CL(128KB),Attache.4CL(512KB),Ideal
GemsFDTD,1.1818974940535927,1.1555943983940238,1.1463035947596507,1.0006267772511643,0.9998661709703824,0.9999988009085776
omnetpp,2.2452778967842253,2.142848825247918,1.5953330435539512,0.9983483983606574,0.9988768472019568,0.9991847824450724
soplex,1.0252032554912704,1.0079874834736855,1.0029122935851524,1.0022357040474068,0.9992271638332926,0.9994815784518324
mcf,1.1706105351384086,1.1399980313875235,1.1140885278011123,0.9993739658771644,0.9997062044870983,0.9988383243472692
lbm,1.0213762659880834,1.0213094724988316,1.0213094724988316,1.000029129229855,0.9965506366416197,1.0015288532271902
libquantum,1.0313355888636828,1.0182579666994582,1.001914879048159,0.998669402127624,0.9994739163044892,0.9994380906429214
milc,1.1292701577666524,1.1278587569418952,1.128125908115645,0.9988495537549472,0.998919576635563,0.9997188688723551
leslie3d,1.0205902434278413,1.0119090626661347,1.0074742954152924,1.0002051108904857,1.0001672683606455,1.0006656041229798
sphinx3,1.020989615638023,1.0058049135340557,1.0057926493443314,1.0033421733915686,1.0018682449013334,1.0024229042373456
astar,2.0008808109638467,1.818142745823889,1.4900591027109913,1.000196101574206,1.0007698373137883,0.9996168641841229
h264ref,1.0026030297589372,1.0026030297589372,1.0026030297589372,0.995463837846558,1.0035199232944731,1.0067108221691368
sjeng,2.529032982823245,2.242517603050888,1.7483503558335491,0.9997099342489686,1.000016766806418,1.000124912707814
cactusADM,1.0150398704558534,1.0139871043803892,1.0142784984049094,0.9965172773568727,1.000770788819781,1.000253965953457
zeusmp,1.178902574695081,1.139304119202233,1.1359408682385892,0.999574728762281,0.9989483884686169,0.9980966820623196
bwaves,1.0276172339457905,1.0247252010880008,1.024930215882295,1.0002020965215046,1.0003895771557607,0.9992625598230594
gcc,1.1559830592908922,1.080456700894083,1.0013162750657227,0.9967071555703184,1.0007805175702917,0.9985347808009515
bzip2,0.9994569122869411,0.9994569122869411,0.9994569122869411,1.0022503831006835,0.9983586031599923,0.9996721808758231
xalancbmk,1.424561527136499,1.3878393448895312,1.0877071003098757,0.9995127020827412,0.9996727683955551,1.0015750859250478
mix1,,,,,,
mix2,1.1881852428352802,1.18810872323449,1.1685815097251835,1.1244656708218337,1.104048998705053,1.107184340296399
mix3,1.2694075978284234,1.1726856838632416,1.0969425736111607,1.051838763530648,1.0472838587526931,1.0458865872485157
bfs.road,1.2260146118739081,1.0305603147847497,1.003742182280851,1.0005705578835946,0.9994678482554938,0.9995366004190733
bfs.web,1.1654604925451495,1.1546030455639824,1.1399548576345522,1.0001967093404613,1.0007416678424668,0.9998282513881663
bfs.kron,2.367568525594284,2.3233181829787473,2.177464615184641,0.9999818885452509,0.9996998047928706,0.999602628979455
bfs.urand,2.7092362839173054,2.647892775501163,2.469963492191312,1.0006166441844904,0.9996284407242573,0.9999700321001864
bfs.twitter,2.2216842557814993,2.1521175939262176,1.8619026421393967,1.0002911772173222,0.9975947529950873,0.9978088814494235
bc.road,1.332050151760299,1.1499303603062836,1.0084968157619063,1.0002592616904766,0.9997860714653697,1.0006837009853755
bc.web,1.2393696664785465,1.205926633470835,1.1875626294665043,1.0010927943225454,1.0028227086648405,1.0031722512312888
bc.kron,2.822265639376523,2.794670723990514,2.661607930607154,0.9999153178010024,0.9991130260363409,0.9995974667020671
bc.urand,2.852996445529947,2.8212453331614427,2.703751012419189,0.9996104715031494,0.9995229798212997,0.9994838864516685
bc.twitter,2.604249353006424,2.5339553105929173,2.3487455593588678,0.9997193715444819,1.0000271748825902,0.9995149077993396
pr.road,1.0250690162208071,1.0250690162208071,1.0250690162208071,0.9980848959572363,0.9999103172335976,0.9983499820034469
pr.web,1.0568193639373722,1.0430832835521602,1.0351192194530972,1.0016128381754568,1.0022056967997641,1.0019002194750244
pr.kron,2.759390120654323,,,1.0001457334440271,,0.9995887732998484
pr.urand,,,,0.9993176460236122,,0.9994250911955421
pr.twitter,2.283734874741097,1.9413524942921407,1.4276014229171854,0.9997782053111978,0.9996079813030414,1.000361147062197
rand,2.9376342529071025,2.8752691057992656,2.7518290794559217,0.9999852003685108,,0.9999928001792755
seq,1.0312498031256103,1.0312498031256103,1.0312498031256103,,0.99999930000217,0.99999960000124
gmean,1.434099270269715,1.3509886886689453,1.2751248005799931,1.0042405534611638,1.0037746411800372,1.0039705635486131
