,metacache_rownum2048
GemsFDTD,98.5875249538
omnetpp,73.4145405749
soplex,86.34144287
mcf,43.1481841819
lbm,0.627241920562
libquantum,0.00216911450044
milc,11.8274756305
leslie3d,26.2759431258
sphinx3,19.526002437
astar,13.1147474404
h264ref,86.8216629573
sjeng,24.323913857
cactusADM,57.4398376317
zeusmp,95.4069830156
bwaves,78.6707683889
gcc,76.2605267934
bzip2,9.62172043604
xalancbmk,46.5806470669
bfs.road,42.7201498272
bfs.web,48.6400254641
bfs.kron,90.0226624003
bfs.urand,26.3675742078
bfs.twitter,87.4372793438
bc.road,83.2042473286
bc.web,78.2118335816
bc.kron,94.7616325707
bc.urand,91.425450192
bc.twitter,92.132693348
pr.road,40.027312278
pr.web,56.2947898155
pr.kron,20.2370989862
pr.urand,0.434044276172
pr.twitter,19.2513855641
SPEC,47.1106295776
GAP,58.0778786123
AVERAGE,52.1242291363
