,metacache_rownum8192
GemsFDTD,0.07330739677465889
astar,0.24667190612811057
bc.kron,0.83028719234074
bc.road,0.004452807692531497
bc.twitter,0.6732557433377554
bc.urand,0.8530446866382623
bc.web,0.09706464172587342
bfs.kron,0.5897637678601174
bfs.road,-1.6424440496482613e-05
bfs.twitter,0.43334131627466205
bfs.urand,0.7373704337790379
bfs.web,0.07022138589845282
bwaves,0.007854233731334743
bzip2,0.010094022325543255
cactusADM,0.006630651474094877
gcc,-0.000769775582121774
h264ref,-0.00038422067089021426
lbm,0.013318530338494382
leslie3d,0.012011194938719742
libquantum,-0.000646550653543643
mcf,0.055707566830077306
milc,0.06340182990276243
mix1,
mix2,0.12889694052399575
mix3,0.07703010989787078
mix4,
omnetpp,0.2986661616287307
pr.kron,0.7999188442288029
pr.road,0.0099440985913968
pr.twitter,0.21219293049971102
pr.urand,0.8180037486517736
pr.web,0.020027569477604684
rand,1.020436691126391
seq,0.01814264375780435
sjeng,0.3873989565823048
soplex,0.002790689754819552
sphinx3,0.0018505753835455
xalancbmk,0.0433195760039793
zeusmp,0.06409978860181112
