,MCache(256KB),MCache(512KB),MCache(1MB),Attache.1CL(128KB),Attache.4CL(512KB),Ideal
GemsFDTD,1.2431577066036656,1.207946255446737,1.1956035138378076,1.0006013868060732,0.9998654431347141,1.0000067022444141
omnetpp,316.97655036459435,289.9573582004056,152.80550839366902,0.999432337171078,0.9999019491477317,1.0074105802030169
soplex,1.0534616559862393,1.0175312102437586,1.007761009038579,1.0063032018726952,1.0012160811630129,1.0015707826901359
mcf,1.4234864630472341,1.3476329708643424,1.2836413063600496,0.9997655088787218,0.9999262218435039,0.9991586728687408
lbm,1.04740652987852,1.0473193057321035,1.0473193057321035,0.9998681322743865,0.9933367188735228,1.0026889298117114
libquantum,1733.9204545454545,1017.9715909090909,199.0028409090909,1.0,1.0,1.0
milc,1.2181483021038664,1.2158251164586975,1.2158716409759205,0.9989400701571294,0.9988843328642188,0.9997376662122925
leslie3d,1.0415478698760376,1.0259847284016186,1.0151514746827663,1.00000623218733,1.0001773091538162,1.0003182524672785
sphinx3,1.144740586818776,1.0271225904965442,1.0261245993805626,1.0009843304010861,1.0002398214392778,1.0015732589988062
astar,2.2813820425023326,2.046915248712363,1.627240802874944,0.9996572103668272,1.0006795064971075,0.9999125745110595
h264ref,1.005036686354885,1.005036686354885,1.005036686354885,0.9977069459331237,1.0012174397618336,1.0049927581160558
sjeng,2.976086052075027,2.6057665638109766,1.9670847345976494,0.9999349928925563,1.0002643622369378,1.0002621953333564
cactusADM,1.039214100093184,1.0368944159865499,1.0368647887461828,0.9974646811091306,1.0004750663585777,1.0003050317616897
zeusmp,1.305756972448157,1.2379061235484317,1.2322956622173276,0.9996970877685084,0.9992612321048201,0.9985060637114626
bwaves,1.1438123266893871,1.1365368129433946,1.1316687564823387,1.0000394027680963,1.000013739123086,0.9998382412678152
gcc,145.4223856558487,75.10487307763573,3.274269180883967,0.9963369963369964,1.0003705762460626,0.9991448240475478
bzip2,1.0022876438585957,1.0022876438585957,1.0022876438585957,0.9982640719029439,0.9948827360518464,0.999350888932685
xalancbmk,12.151347979304864,11.235096624577745,3.2993840208989464,0.9998774376481249,0.9995152590128085,1.0006568791218475
mix1,,,,,,
mix2,1.3766931555337492,1.2692402046681153,1.251550781523796,1.0744878916380458,1.0646750367982056,1.0651021588280647
mix3,1.4453085089219906,1.2636110255557989,1.1244736139465112,1.039593437621872,1.0366714218338688,1.0332050622121123
bfs.road,1.5250297877719947,1.0702674760131872,1.0094125238039995,1.00012939761635,0.9982740455436354,0.9989770202320172
bfs.web,1.8925831822844017,1.8348880412712159,1.7567836540876918,1.0009658476060697,1.0022444243610362,1.0005294944795402
bfs.kron,5.2249095212080645,5.089562883144757,4.63949879207866,0.9999457998468703,0.9996543407783379,0.9994700520579761
bfs.urand,6.594092170837485,6.396060657110229,5.810047508471865,1.00064206700794,0.9996521943038934,1.0000092697392537
bfs.twitter,17.780584486110335,16.823373952368822,12.83362627394129,1.005363265607586,0.9913649908671086,0.9933358773493878
bc.road,1.7095246878051142,1.319800147942066,1.0187527532878247,1.0002621119153288,0.999789832815044,1.0006665426217096
bc.web,1.565042728686179,1.4875213234581208,1.4389055911557636,1.0011957879915785,1.003078443458619,1.0032937709608474
bc.kron,9.141676275229019,9.019569024147948,8.42362219303585,0.9999277641014608,0.9991353221888116,0.9996209285735445
bc.urand,9.857604917145112,9.705251161842249,9.144900122212164,0.9996142979965197,0.9995195732356739,0.9994771193201311
bc.twitter,3.4091563209467264,3.3032732973523418,3.0254045581347686,0.99977165599568,1.0000817123868844,0.9995850802731651
pr.road,1.0628037345795416,1.0628037345795416,1.0628037345795416,0.998105960961751,0.9999169340930549,0.9982877741643666
pr.web,2.8545572189968804,2.381353991332712,2.104787909378148,1.0000733762176561,1.0000088940869887,1.0
pr.kron,443.05891266585354,,,0.9997761926467992,,0.9996139836476903
pr.urand,,,,0.9994045565103225,,0.9995244868244978
pr.twitter,375.6004293899368,275.76017970570314,125.6731223342913,0.9981537801743187,0.9985721869336799,1.0011061628700613
rand,4.231634303640578,4.126914213555625,3.9206894953462,1.0004338189371136,,1.0001347139512635
seq,1.0520382758336704,1.0520382758336704,1.0520382758336704,,1.0004191149772088,1.0002520691509704
gmean,4.098271519471786,3.183377575914632,2.4863373954886705,1.00287951979876,1.002121669543407,1.0027663306640977
