,MCache(256KB),MCache(512KB),MCache(1MB),Attache.1CL(128KB),Attache.4CL(512KB),Ideal
GemsFDTD,60.970103,59.269427,58.707367,45.531957,45.545314,45.594064
omnetpp,111.626941,105.78027,69.702064,0.667441,0.708024,0.710186
soplex,26.449823,25.29293,25.10223,24.76045,24.75046,24.883222
mcf,91.317971,88.740208,86.850658,74.988184,75.051859,76.973133
lbm,54.194551,54.209653,54.209653,53.029037,52.839022,53.175823
libquantum,1.547554,0.910801,0.178686,0.000898,0.000897,0.000897
milc,75.540662,75.639143,75.591404,67.820761,67.800656,69.532285
leslie3d,54.8421,54.424101,54.112319,53.498333,53.776095,53.668535
sphinx3,9.624197,8.651837,8.659432,8.412294,8.431464,8.442363
astar,116.07486,118.381976,125.901357,106.303997,106.440087,108.75345
h264ref,21.19682,21.19682,21.19682,21.208255,21.055736,20.988689
sjeng,46.311992,44.7899,43.523252,31.85468,31.859154,31.88891
cactusADM,33.121442,33.141741,33.008947,31.939876,31.962283,32.24882
zeusmp,30.985662,29.276335,29.19929,21.129218,21.172784,21.162347
bwaves,21.578289,21.514529,21.417722,18.552346,18.478089,18.993945
gcc,16.579927,8.807106,0.406156,0.125294,0.125184,0.131006
bzip2,63.906316,63.906316,63.906316,63.441252,63.592634,63.475668
xalancbmk,36.322568,34.134852,11.301162,3.868537,3.876281,4.053944
mix1,,,39.599466,,36.455936,
mix2,19.483851,16.94958,16.790726,13.337272,13.428552,13.531076
mix3,57.276806,55.471527,51.635788,48.777758,48.77615,49.004873
bfs.road,79.288676,66.580687,64.718956,63.131891,63.224945,64.313746
bfs.web,28.123568,27.568928,26.700033,17.474837,17.426324,17.878397
bfs.kron,121.148039,121.347237,122.262377,47.71821,47.840151,47.944188
bfs.urand,139.907921,137.905166,137.165818,43.196533,42.933776,44.837268
bfs.twitter,111.0481,108.317358,94.005524,10.909262,10.867827,11.044106
bc.road,70.975563,53.398658,36.369953,35.182207,35.165675,35.153752
bc.web,41.814988,40.082964,38.343777,24.51208,24.525192,24.54596
bc.kron,141.336546,140.632236,139.082448,30.714145,30.667266,30.690323
bc.urand,142.137558,141.259355,139.580452,25.923465,25.923698,25.930661
bc.twitter,146.210722,144.91719,141.467555,53.483598,53.465573,53.540413
pr.road,53.332684,53.332684,53.332684,52.217282,51.943123,52.251173
pr.web,7.246764,6.312213,5.776008,3.583097,3.579912,3.613582
pr.kron,141.193628,,,1.056783,,1.148714
pr.urand,,,,1.002002,,1.002383
pr.twitter,112.751208,90.762389,49.099006,0.948286,0.947382,0.953579
rand,169.482683,169.401908,169.246093,,,157.292664
seq,7.885504,7.885504,7.885504,7.724425,7.727915,7.727831
gmean,38.513830351595395,31.51428464289877,28.341704500472726,10.813125522431374,11.88362696035835,12.510547983742022
