!!SYSTEM_INI
NUM_CHANS=1
JEDEC_DATA_BUS_BITS=64
TRANS_QUEUE_DEPTH=64
CMD_QUEUE_DEPTH=32
EPOCH_LENGTH=100000
USE_LOW_POWER=false
TOTAL_ROW_ACCESSES=4
ROW_BUFFER_POLICY=close_page
SCHEDULING_POLICY=rank_then_bank_round_robin
ADDRESS_MAPPING_SCHEME=scheme2
QUEUING_STRUCTURE=per_rank
DEBUG_TRANS_Q=false
DEBUG_CMD_Q=false
DEBUG_ADDR_MAP=false
DEBUG_BANKSTATE=false
DEBUG_BUS=false
DEBUG_BANKS=false
DEBUG_POWER=false
VIS_FILE_OUTPUT=true
VERIFICATION_OUTPUT=false
NUM_RANKS=1
!!DEVICE_INI
NUM_BANKS=16
NUM_ROWS=65536
NUM_COLS=2048
DEVICE_WIDTH=4
REFRESH_PERIOD=7800
tCK=1.5
CL=10
AL=0
BL=8
tRAS=24
tRCD=10
tRRD=4
tRC=34
tRP=10
tCCD=4
tRTP=5
tWTR=5
tWR=10
tRTRS=1
tRFC=107
tFAW=20
tCKE=4
tXP=4
tCMD=1
IDD0=130
IDD1=155
IDD2P=10
IDD2Q=70
IDD2N=70
IDD3Pf=60
IDD3Ps=60
IDD3N=90
IDD4W=300
IDD4R=255
IDD5=305
IDD6=9
IDD6L=12
IDD7=460
Vdd=1.5
!!EPOCH_DATA
ms,Background_Power[0][0],ACT_PRE_Power[0][0],Burst_Power[0][0],Refresh_Power[0][0],Bandwidth[0][0][0],Average_Latency[0][0][0],Bandwidth[0][0][1],Average_Latency[0][0][1],Bandwidth[0][0][2],Average_Latency[0][0][2],Bandwidth[0][0][3],Average_Latency[0][0][3],Bandwidth[0][0][4],Average_Latency[0][0][4],Bandwidth[0][0][5],Average_Latency[0][0][5],Bandwidth[0][0][6],Average_Latency[0][0][6],Bandwidth[0][0][7],Average_Latency[0][0][7],Bandwidth[0][0][8],Average_Latency[0][0][8],Bandwidth[0][0][9],Average_Latency[0][0][9],Bandwidth[0][0][10],Average_Latency[0][0][10],Bandwidth[0][0][11],Average_Latency[0][0][11],Bandwidth[0][0][12],Average_Latency[0][0][12],Bandwidth[0][0][13],Average_Latency[0][0][13],Bandwidth[0][0][14],Average_Latency[0][0][14],Bandwidth[0][0][15],Average_Latency[0][0][15],Rank_Aggregate_Bandwidth[0][0],Rank_Average_Bandwidth[0][0],Aggregate_Bandwidth[0],Average_Bandwidth[0],
0.15,2.03914,4.23671,1.79245,0.104903,0.279744,48.6882,0.281334,49.1907,0.279744,48.358,0.282923,48.8511,0.281334,48.7436,0.281334,48.267,0.281334,49.3559,0.281334,49.464,0.281334,49.6398,0.279347,49.2866,0.280539,48.6076,0.27895,49.9402,0.282129,49.8782,0.280539,48.5269,0.281731,47.4711,0.282923,49.1545,4.49657,4.49657,4.49657,0.281036,
0.3,1.87172,2.10263,0.889574,0.104903,0.139872,40.9176,0.139872,40.9176,0.139872,40.9176,0.139872,40.9176,0.139872,40.9176,0.139475,40.9231,0.139078,40.5429,0.139078,40.9286,0.139078,40.9286,0.139475,40.9231,0.139475,40.9231,0.139078,40.9286,0.139078,40.9286,0.139078,40.5429,0.139475,40.5385,0.139872,40.5341,2.2316,2.2316,2.2316,0.139475,
0.45,2.10307,4.26629,1.80465,0.104903,0.28491,55.477,0.280539,55.2429,0.27895,52.1282,0.276168,49.2345,0.295639,77.871,0.289679,60.2798,0.288089,60.1821,0.280142,52.8979,0.276963,51.9792,0.288089,63.8483,0.280142,54.0191,0.277758,52.3155,0.284115,56.8699,0.282923,55.4115,0.280142,54.1255,0.281731,53.3653,4.52598,4.52598,4.52598,0.282874,
0.6,2.159,7.27646,3.07859,0.104903,0.492334,144.28,0.479619,142.299,0.478029,140.12,0.460148,141.96,0.493526,144.291,0.4824,142.947,0.484387,144.186,0.47644,139.286,0.486771,140.031,0.472864,141.517,0.490745,143.098,0.491142,143.044,0.480811,141.837,0.475248,138.944,0.496308,144.074,0.482003,144.777,7.72278,7.72278,7.72278,0.482673,
0.75,2.15903,7.02562,3.05856,0.110424,0.464122,167.08,0.461737,165.812,0.46134,169.17,0.451406,166.857,0.480413,173.021,0.462929,170.575,0.472864,172.62,0.470877,171.589,0.466903,172.115,0.463724,171.389,0.469287,171.336,0.472466,169.151,0.469287,172.001,0.463327,165.964,0.472069,173.024,0.453393,166.734,7.45614,7.45614,7.45614,0.466009,
0.9,2.15909,6.96946,3.23202,0.104903,0.463327,321.974,0.4673,325.38,0.451008,315.391,0.461737,313.991,0.477632,325.111,0.46889,323.425,0.457764,319.752,0.469287,317.044,0.45379,313.273,0.457764,312.523,0.473658,321.413,0.456572,314.746,0.461737,314.158,0.460545,309.649,0.458558,314.338,0.457366,319.045,7.39694,7.39694,7.39694,0.462309,
1.05,2.15909,7.10873,3.32361,0.104903,0.464916,351.692,0.472864,347.783,0.457764,349.464,0.473261,350.05,0.475645,355.555,0.463724,351.861,0.470877,351.408,0.464122,345.248,0.458956,343.834,0.477632,354.349,0.467698,349.158,0.478427,348.986,0.479619,349.719,0.478824,349.666,0.481606,349.115,0.477235,352.019,7.54317,7.54317,7.54317,0.471448,
1.2,2.15909,7.10012,3.23336,0.104903,0.4673,286.815,0.471274,284.276,0.485579,286.798,0.480413,287.526,0.455777,283.897,0.473658,287.467,0.47644,285.978,0.463724,282.436,0.475645,284.993,0.473261,281.322,0.462929,282.75,0.4673,283.946,0.469685,285.133,0.470479,288.589,0.468095,286.387,0.474056,288.063,7.53562,7.53562,7.53562,0.470976,
1.35,2.15904,7.1574,3.11797,0.110424,0.478427,215.994,0.477632,217.106,0.473658,214.681,0.486374,217.992,0.470877,214.688,0.481606,218.231,0.475645,214.374,0.478427,216.472,0.476042,215.075,0.477632,214.468,0.473658,217.984,0.470877,213.988,0.470082,213.261,0.470877,214.867,0.460943,212.055,0.475645,215.799,7.5984,7.5984,7.5984,0.4749,
1.5,2.11449,4.8234,2.2029,0.104903,0.316302,244.014,0.31511,243.195,0.31352,242.85,0.320673,249.825,0.324249,258.847,0.326236,248.844,0.321468,245.663,0.322262,246.498,0.323057,246.626,0.332594,254.733,0.323455,250.482,0.316302,244.946,0.316699,248.596,0.322262,251.61,0.313918,246.622,0.312726,245.866,5.12083,5.12083,5.12083,0.320052,
