ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Sum.f64,SumSQ.f64
memh_bridge,readTxnsCompleted,,Accumulator,1355444750,0,24986,24986,24986,0,0
memh_bridge,writeTxnsCompleted,,Accumulator,1355444750,0,0,0,0,0,0
memh_bridge,readTxnsSent,,Accumulator,1355444750,0,25000,25000,25000,0,0
memh_bridge,txnsPerCycle,,Accumulator,1355444750,0,0,0,1,0.018434,0.000340
memh_bridge,readTxnsLatency,,Accumulator,1355444750,0,20076596,18839772580,24986,0,0
memh_bridge,writeTxnsLatency,,Accumulator,1355444750,0,0,0,0,0,0
memh_bridge,txnsLatency,,Accumulator,1355444750,0,20076596,18839772580,24986,0,0
memh_bridge,cycles,,Accumulator,1355444750,0,1355444,1837228437136,1,0,0
MemController0,readTxnsRecvd,,Accumulator,1355444750,0,25000,25000,25000,0,0
MemController0,writeTxnsRecvd,,Accumulator,1355444750,0,0,0,0,0,0
MemController0,totalTxnsRecvd,,Accumulator,1355444750,0,25000,25000,25000,0,0
MemController0,totalQueueingDelay,,Accumulator,1355444750,0,20001638,18719537878,24986,0,0
MemController0,cmdQueueingDelay,,Accumulator,1355444750,0,19976652,18679559588,24986,0,0
MemController0,txnQueueingDelay,,Accumulator,1355444750,0,0,0,24986,0,0
MemController0,compRatio,,Accumulator,1355444750,0,0,0,1,-nan,-nan
MemController0,rowsize0_cnt,,Accumulator,1355444750,0,0,0,1,0,0
MemController0,rowsize25_cnt,,Accumulator,1355444750,0,0,0,1,0,0
MemController0,rowsize50_cnt,,Accumulator,1355444750,0,0,0,1,0,0
MemController0,rowsize75_cnt,,Accumulator,1355444750,0,0,0,1,0,0
MemController0,rowsize100_cnt,,Accumulator,1355444750,0,0,0,1,0,0
MemController0,backing_store_miss,,Accumulator,1355444750,0,0,0,0,0,0
MemController0,double_rank_access,,Accumulator,1355444750,0,0,0,0,0,0
MemController0,single_rank_access,,Accumulator,1355444750,0,0,0,0,0,0
MemController0,memzip_metacache_hit,,Accumulator,1355444750,0,0,0,0,0,0
MemController0,memzip_metacache_miss,,Accumulator,1355444750,0,0,0,0,0,0
MemController0,cacheline_size_50,,Accumulator,1355444750,0,0,0,1,0,0
MemController0,cacheline_size_100,,Accumulator,1355444750,0,0,0,1,0,0
MemController0,predicted_fail_below50,,Accumulator,1355444750,0,0,0,0,0,0
MemController0,predicted_success_above50,,Accumulator,1355444750,0,0,0,0,0,0
MemController0,predicted_success_below50,,Accumulator,1355444750,0,0,0,0,0,0
MemController0,predicted_fail_above50,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,totalRowHits,,Accumulator,1355444750,0,1,1,1,0,0
Dimm0,bankACTsRecvd_0,,Accumulator,1355444750,0,960,960,960,0,0
Dimm0,bankREADsRecvd_0,,Accumulator,1355444750,0,960,960,960,0,0
Dimm0,bankWRITEsRecvd_0,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankPREsRecvd_0,,Accumulator,1355444750,0,960,960,960,0,0
Dimm0,bankRowHits_0,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankACTsRecvd_1,,Accumulator,1355444750,0,448,448,448,0,0
Dimm0,bankREADsRecvd_1,,Accumulator,1355444750,0,448,448,448,0,0
Dimm0,bankWRITEsRecvd_1,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankPREsRecvd_1,,Accumulator,1355444750,0,448,448,448,0,0
Dimm0,bankRowHits_1,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankACTsRecvd_2,,Accumulator,1355444750,0,636,636,636,0,0
Dimm0,bankREADsRecvd_2,,Accumulator,1355444750,0,636,636,636,0,0
Dimm0,bankWRITEsRecvd_2,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankPREsRecvd_2,,Accumulator,1355444750,0,635,635,635,0,0
Dimm0,bankRowHits_2,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankACTsRecvd_3,,Accumulator,1355444750,0,832,832,832,0,0
Dimm0,bankREADsRecvd_3,,Accumulator,1355444750,0,832,832,832,0,0
Dimm0,bankWRITEsRecvd_3,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankPREsRecvd_3,,Accumulator,1355444750,0,832,832,832,0,0
Dimm0,bankRowHits_3,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankACTsRecvd_4,,Accumulator,1355444750,0,1235,1235,1235,0,0
Dimm0,bankREADsRecvd_4,,Accumulator,1355444750,0,1235,1235,1235,0,0
Dimm0,bankWRITEsRecvd_4,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankPREsRecvd_4,,Accumulator,1355444750,0,1235,1235,1235,0,0
Dimm0,bankRowHits_4,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankACTsRecvd_5,,Accumulator,1355444750,0,896,896,896,0,0
Dimm0,bankREADsRecvd_5,,Accumulator,1355444750,0,896,896,896,0,0
Dimm0,bankWRITEsRecvd_5,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankPREsRecvd_5,,Accumulator,1355444750,0,896,896,896,0,0
Dimm0,bankRowHits_5,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankACTsRecvd_6,,Accumulator,1355444750,0,768,768,768,0,0
Dimm0,bankREADsRecvd_6,,Accumulator,1355444750,0,768,768,768,0,0
Dimm0,bankWRITEsRecvd_6,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankPREsRecvd_6,,Accumulator,1355444750,0,768,768,768,0,0
Dimm0,bankRowHits_6,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankACTsRecvd_7,,Accumulator,1355444750,0,832,832,832,0,0
Dimm0,bankREADsRecvd_7,,Accumulator,1355444750,0,832,832,832,0,0
Dimm0,bankWRITEsRecvd_7,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankPREsRecvd_7,,Accumulator,1355444750,0,832,832,832,0,0
Dimm0,bankRowHits_7,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankACTsRecvd_8,,Accumulator,1355444750,0,768,768,768,0,0
Dimm0,bankREADsRecvd_8,,Accumulator,1355444750,0,768,768,768,0,0
Dimm0,bankWRITEsRecvd_8,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankPREsRecvd_8,,Accumulator,1355444750,0,768,768,768,0,0
Dimm0,bankRowHits_8,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankACTsRecvd_9,,Accumulator,1355444750,0,768,768,768,0,0
Dimm0,bankREADsRecvd_9,,Accumulator,1355444750,0,768,768,768,0,0
Dimm0,bankWRITEsRecvd_9,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankPREsRecvd_9,,Accumulator,1355444750,0,768,768,768,0,0
Dimm0,bankRowHits_9,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankACTsRecvd_10,,Accumulator,1355444750,0,704,704,704,0,0
Dimm0,bankREADsRecvd_10,,Accumulator,1355444750,0,704,704,704,0,0
Dimm0,bankWRITEsRecvd_10,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankPREsRecvd_10,,Accumulator,1355444750,0,704,704,704,0,0
Dimm0,bankRowHits_10,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankACTsRecvd_11,,Accumulator,1355444750,0,704,704,704,0,0
Dimm0,bankREADsRecvd_11,,Accumulator,1355444750,0,704,704,704,0,0
Dimm0,bankWRITEsRecvd_11,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankPREsRecvd_11,,Accumulator,1355444750,0,704,704,704,0,0
Dimm0,bankRowHits_11,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankACTsRecvd_12,,Accumulator,1355444750,0,395,395,395,0,0
Dimm0,bankREADsRecvd_12,,Accumulator,1355444750,0,395,395,395,0,0
Dimm0,bankWRITEsRecvd_12,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankPREsRecvd_12,,Accumulator,1355444750,0,394,394,394,0,0
Dimm0,bankRowHits_12,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankACTsRecvd_13,,Accumulator,1355444750,0,960,960,960,0,0
Dimm0,bankREADsRecvd_13,,Accumulator,1355444750,0,960,960,960,0,0
Dimm0,bankWRITEsRecvd_13,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankPREsRecvd_13,,Accumulator,1355444750,0,960,960,960,0,0
Dimm0,bankRowHits_13,,Accumulator,1355444750,0,1,1,1,0,0
Dimm0,bankACTsRecvd_14,,Accumulator,1355444750,0,960,960,960,0,0
Dimm0,bankREADsRecvd_14,,Accumulator,1355444750,0,960,960,960,0,0
Dimm0,bankWRITEsRecvd_14,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankPREsRecvd_14,,Accumulator,1355444750,0,960,960,960,0,0
Dimm0,bankRowHits_14,,Accumulator,1355444750,0,0,0,0,0,0
Dimm0,bankACTsRecvd_15,,Accumulator,1355444750,0,1024,1024,1024,0,0
