ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Sum.f64,SumSQ.f64
L3cache,TotalEventsReceived,,Accumulator,144161750,0,11907,11907,11907,0,0
L3cache,TotalEventsReplayed,,Accumulator,144161750,0,0,0,0,0,0
L3cache,TotalNoncacheableEventsReceived,,Accumulator,144161750,0,0,0,0,0,0
L3cache,CacheHits,,Accumulator,144161750,0,11,11,11,0,0
L3cache,GetSHit_Arrival,,Accumulator,144161750,0,10,10,10,0,0
L3cache,GetXHit_Arrival,,Accumulator,144161750,0,1,1,1,0,0
L3cache,GetSXHit_Arrival,,Accumulator,144161750,0,0,0,0,0,0
L3cache,GetSHit_Blocked,,Accumulator,144161750,0,0,0,0,0,0
L3cache,GetXHit_Blocked,,Accumulator,144161750,0,0,0,0,0,0
L3cache,GetSXHit_Blocked,,Accumulator,144161750,0,0,0,0,0,0
L3cache,CacheMisses,,Accumulator,144161750,0,5287,5287,5287,0,0
L3cache,GetSMiss_Arrival,,Accumulator,144161750,0,4270,4270,4270,0,0
L3cache,GetXMiss_Arrival,,Accumulator,144161750,0,1017,1017,1017,0,0
L3cache,GetSXMiss_Arrival,,Accumulator,144161750,0,0,0,0,0,0
L3cache,GetSMiss_Blocked,,Accumulator,144161750,0,0,0,0,0,0
L3cache,GetXMiss_Blocked,,Accumulator,144161750,0,0,0,0,0,0
L3cache,GetSXMiss_Blocked,,Accumulator,144161750,0,0,0,0,0,0
L3cache,GetS_recv,,Accumulator,144161750,0,4280,4280,4280,0,0
L3cache,GetX_recv,,Accumulator,144161750,0,1018,1018,1018,0,0
L3cache,GetSX_recv,,Accumulator,144161750,0,0,0,0,0,0
L3cache,GetSResp_recv,,Accumulator,144161750,0,0,0,0,0,0
L3cache,GetXResp_recv,,Accumulator,144161750,0,5284,5284,5284,0,0
L3cache,PutS_recv,,Accumulator,144161750,0,0,0,0,0,0
L3cache,PutM_recv,,Accumulator,144161750,0,433,433,433,0,0
